Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;0.162055149710988;0.15737462226352;0.16161486770767;0.162219040723409;0.172586234786627;0.174582122512778;0.185314792685851;0.190026059484363;0.205978655349773;0.219316778652586;0.242251337581889;0.252959366563067;0.26360346869302;0.289323815584869;0.329897389705303;0.303414754111234;0.303239300513947;0.373515816185215;0.407418053735516;0.464844034939839;0.556210375089252;0.679362511018155;0.73653161724752;0.810575715981334;0.884422205197822;0.873243380189252;0.813986792004589;0.823541316580041;0.871323588764479;0.901244293210722;0.92160693069365;0.921092627691804;0.915109480199523;0.933486960778561;0.969060684494065;1.000204077771;1,0000;1.0175790062936;1.02707739004091;1.08686932111289;1.14965329701246;1.13829420025425;1.09749293242883;1.09843555013846;1.08039979131912
AR;0.164906353953438;0.160946687321891;0.165227992956631;0.166102495486249;0.176736979380237;0.178851013751502;0.189681725044242;0.194434102882659;0.209807940252848;0.22273910116459;0.245261467375281;0.254761227000807;0.265919906363211;0.290117570818934;0.332362456668951;0.308376927155639;0.311422412887088;0.382115809943165;0.417788156004099;0.471764369440076;0.563516221529294;0.68989656034418;0.749659352918394;0.824717103928079;0.895801985602674;0.883036614029866;0.817228692620446;0.824870972506176;0.869041373994148;0.893554883923195;0.909639884568371;0.915150244064596;0.91380226672686;0.933135569215573;0.968481113780679;1.00836250705967;1.0180824375703;1.03566007233602;1.0372112580962;1.07999516668263;1.13355156440271;1.12505500323908;1.08109590736801;1.09094882107976;1.07911766525877
AZ;0.145800928230462;0.138443394557538;0.143622260409401;0.145515027901093;0.15623869648145;0.158558488935573;0.172101560125182;0.177908606837468;0.193714261200492;0.207901098644362;0.233206021457191;0.239252019505141;0.251660507633544;0.281828936020126;0.334868464548363;0.285974790219743;0.283902620748716;0.359848163786671;0.394630865696255;0.457973654675155;0.55712977500469;0.697880239951066;0.758044411651738;0.833581904947269;0.914061450354452;0.903100564842785;0.827001747185471;0.83602698547224;0.893800065122617;0.921248980130626;0.938406015285083;0.934035873947672;0.91745995599634;0.939616674927438;0.970725398338947;1.01311994337351;1.01889844437533;1.05343630797879;1.06370513744067;1.12723351830063;1.20073821791259;1.19279888536739;1.14857226056566;1.14692121277332;1.12091961041111
CA;0.157367542476334;0.152708860247051;0.157207220412904;0.158402167099719;0.168399833399373;0.171760513360921;0.18308446212967;0.189028952562575;0.205468777398289;0.219662551745461;0.243098010657801;0.25295058148265;0.263058406672183;0.287960451527233;0.333922682680563;0.309406318899064;0.309555804699119;0.383146100833902;0.419591684839735;0.481094371795861;0.577742359826139;0.720015993253196;0.786305831764606;0.858478676792749;0.941515569298038;0.931002582331788;0.86020642379368;0.87064301868419;0.915728028940812;0.939211115549323;0.957607387144046;0.946684758118867;0.939135699923347;0.960853355122151;0.998039237098258;1.03827887615764;1.04908620182979;1.07675059766748;1.07627999160467;1.15520430797336;1.22265349195175;1.21496897995194;1.185703273087;1.1675455012437;1.14134095771294
CO;0.153876645557765;0.149161626594562;0.154509837697039;0.156005846219069;0.165130671897897;0.167802877997059;0.180232782375831;0.185951192704438;0.201900348083064;0.215615587911831;0.239852766896927;0.248336048547201;0.261503781797918;0.292427969311705;0.348094841008371;0.299176087190825;0.298345584061341;0.373912877224853;0.408415095123089;0.474819620377304;0.575983591810766;0.719985063848579;0.770306904622359;0.849233357853871;0.936631390301652;0.924066608104651;0.843220386601369;0.84407806815239;0.912221763220097;0.963933584341541;0.97646007575764;0.950713283018492;0.925799620481367;0.953626474700266;0.986412134942865;1.02629186804627;1.01512126090405;1.04635113898428;1.04444404614562;1.07905413248202;1.17097627925375;1.15657544304174;1.10336166168917;1.11416310493889;1.10182714318561
CT;0.149702664637669;0.144544065999309;0.14858199939844;0.149650776477465;0.15952968680866;0.163676048414988;0.174223283674841;0.179400474312984;0.195392331109756;0.210038746603848;0.231773480286243;0.242807043856292;0.254379256837464;0.277062672847597;0.312174629188475;0.304287556711897;0.300420129090518;0.373949804559016;0.409515741874858;0.459693557979046;0.548648006201663;0.691937075531139;0.763678365964363;0.835359248572173;0.91987987502444;0.912050167777991;0.846898452389014;0.858013742074143;0.890618346861373;0.904651110010939;0.925698177657422;0.915541131449387;0.907918929189655;0.931314715666726;0.967429124182948;1.01862319191729;1.03811266116738;1.06654362364543;1.06551255556618;1.14588770817128;1.21464989152527;1.20876963542141;1.16694229926023;1.17747238841249;1.1545632429106
DE;0.159259165651411;0.155307579453071;0.159634541553209;0.160976136724639;0.170071993023655;0.174091460850377;0.184721997663458;0.189274185105752;0.204535764000374;0.218565318781678;0.239723749011639;0.249846776761423;0.260797803503301;0.283198515356008;0.323077741071148;0.317507345447485;0.31844310689067;0.388716258542181;0.423902395853884;0.472831248613763;0.556877231990312;0.690954342007403;0.758178162556807;0.835745443218776;0.916175132263849;0.902536356131308;0.84167856044854;0.848665616812174;0.882166182418829;0.89909262421207;0.918159392449576;0.914514853484294;0.907557851497334;0.931097715712805;0.964150797557597;1.01873580087264;1.04447181515619;1.06412020608058;1.05389947203156;1.1190021978935;1.1774424529626;1.1716310649223;1.13944244651648;1.14775668682847;1.12630184764776
FL;0.153293331327403;0.147373006626483;0.151790076136907;0.153486116493156;0.164306449905137;0.165957848318746;0.177820190777577;0.18323535663316;0.201017783657881;0.215040294077867;0.239420653663113;0.248354987217644;0.259171023335951;0.291242896298671;0.332774789374222;0.293194544206475;0.290336643429799;0.36454398093409;0.400218238617857;0.458588256602163;0.554168716085572;0.688536662588233;0.747246155781371;0.825093235239895;0.90408367326941;0.885105128588274;0.822799732146035;0.829643690726601;0.886263386456754;0.916518118836848;0.931212838752334;0.933198457249756;0.928447401885812;0.94458030959934;0.982927871073193;1.01824044570489;1.00812877469316;1.02390148133708;1.03590444607794;1.09921339600608;1.1675731206176;1.15639071236033;1.12592128045838;1.12255779278929;1.10214751306803
GA;0.15916680371152;0.155487484729346;0.159535896761522;0.160415407259449;0.170479022286999;0.172784536451045;0.183816191160783;0.188191354343165;0.20357721848794;0.217070063197645;0.239662886085403;0.249134596881785;0.259482184162953;0.284137005189362;0.326386157980244;0.304990304450837;0.305069808906726;0.376440507289269;0.411060302848726;0.465110769767472;0.552916384835391;0.68448704495289;0.744418133550213;0.825006827445158;0.895109022410787;0.882836077604409;0.819916185097217;0.831742826827733;0.877494868689569;0.900035967009915;0.919129989475749;0.913584502675739;0.907884402578551;0.928082660369505;0.962965173496927;1.0055186389204;1.01409637697904;1.03580225957045;1.0389388049957;1.09921179926559;1.16055004330123;1.15245154641631;1.11288939072646;1.11273462081968;1.09489558051979
IA;0.147463737340422;0.14259928240871;0.148128669130767;0.14925420396134;0.15880000152218;0.163208586135059;0.178517119566628;0.181612820992813;0.197245030598304;0.211965912888786;0.239036341688024;0.241999723716028;0.253540393963639;0.28999934598043;0.339874694340601;0.306563708039474;0.303771829773516;0.381693056839718;0.415860983255785;0.473097833331572;0.568032339618705;0.715219615855185;0.769808734013373;0.870874492345234;0.948234300637944;0.922800859536502;0.834842120802083;0.834080800477734;0.896080759537181;0.904103431712341;0.921216869144164;0.911901925552695;0.891781707996205;0.916011845322301;0.946442042956823;0.989791730745424;1.0302389218316;1.04534423633818;1.01645535361315;1.04725799293348;1.11822202107831;1.10696928856228;1.07359137447112;1.08100677852666;1.06521169667587
ID;0.155572532605027;0.150798982917678;0.15555796258991;0.156915230579711;0.166236743247782;0.168918710023814;0.181141553899957;0.186147891854097;0.201403632430624;0.214809492832021;0.238500308321727;0.247444146570123;0.257994236549083;0.28876798106456;0.331061674362351;0.303595731783852;0.302918022273692;0.375457149660273;0.409250645432469;0.468802045559794;0.564665087092053;0.699011742313795;0.759553418891083;0.829589670196225;0.908407815360578;0.892507369332283;0.825065130372604;0.828483502249696;0.886571492062205;0.912074839542885;0.927273471250897;0.925986326218395;0.917851857035666;0.939160652002061;0.981223660808374;1.01321091544924;1.02305889913821;1.05088141076641;1.04481563609205;1.10196389941807;1.17057627826498;1.16647725260205;1.13114308629686;1.12128861283117;1.10230692538061
IL;0.14981253469258;0.144997935874726;0.150236551674587;0.151641653486352;0.161603914605557;0.165643491804038;0.179538585258858;0.182678016316563;0.19814087575503;0.212169134994069;0.236151060796888;0.24256667018694;0.253618484741409;0.285127764217842;0.33268158502897;0.311120649897737;0.308249221137991;0.386976114319592;0.420858367244752;0.472783979233565;0.562634535216669;0.706472821966367;0.764797184349107;0.855991357756181;0.943986937078345;0.911493526401356;0.832297647224721;0.834138076042584;0.887514302627436;0.899360818303703;0.912211523834879;0.90554800960737;0.893406932158332;0.914746269771809;0.947520843455475;0.993368606095202;1.03726901268279;1.05739538613281;1.02817705346799;1.06495024058734;1.12321811332723;1.10908823356659;1.07907025974266;1.09215351889998;1.06869509471311
IN;0.153759950286697;0.149436520038425;0.154137337197555;0.155363188107131;0.16495045998707;0.168744786649142;0.181145830591003;0.185118589432072;0.200010587852225;0.213845967211101;0.236991703233251;0.243570082070929;0.254482327552206;0.281407144059773;0.326246623165774;0.311677754834973;0.311585784927871;0.384027811305027;0.419640776575737;0.471292927772097;0.559194142785411;0.696365354709203;0.758798882735167;0.844428364971494;0.920309048114974;0.901745715735417;0.831140194722088;0.837634726562861;0.88006135755114;0.895599754520763;0.913152665585232;0.907843505173546;0.900616785336821;0.92371043683667;0.953123782419835;0.999785540527706;1.04007357679361;1.05628319826373;1.04165796077363;1.0882974864558;1.15013576996134;1.13878520157289;1.10977417650212;1.11662675268737;1.10017641394607
KS;0.152777971636129;0.148345462969485;0.153701892297132;0.154711817695513;0.163619065550791;0.166291413605508;0.178665153973121;0.183150076115836;0.19817127744919;0.211403907930072;0.23538016877349;0.242019968612638;0.254608351285748;0.286399275515486;0.33427610447433;0.297830406358221;0.298170399318676;0.367905330061258;0.402781897700474;0.461967850529337;0.555962886373361;0.683531810099864;0.738297328112406;0.813050342192969;0.884247515839365;0.871651337805975;0.801626291063345;0.803901792330428;0.858454414304664;0.908452158178353;0.925921555159506;0.904951720307288;0.896028666408981;0.917108861450235;0.948507078659072;0.979581706436534;0.972475233028876;1.00223508825923;0.990876910857803;1.02702024785531;1.10904455239901;1.10647225863531;1.05251403007811;1.05934900925155;1.04824964996861
