Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;727547.858956522;688490.996708934;622410.043972147;789070.511752269;756235.469417067;776653.955006677;592503.096018192;519760.830887758;556974.054941679;603613.307215201;570616.389941185;715656.292890461;675902.894087535;645475.613903761;710595.799823854;788066.430146456;780235.489566317;713386.677918875;814740.217190502;926113.53806181;737791.855466187;1114578.11125303;1088213.96255013;835132.05620474;943797.241389733;1012074.33326987;756607.485059669;777953.183311111;798002.876832589;768307.744041322;677173.206152081;848585.452712488;874977.7673876;793352.00107149;904448.478092196;739062.524747736;843025.490680638;837960.023023208;761044.409820894;796849.159062327;643568.21463939;890304.741583509;768585.389226647;1064770.62474821;948671.298049176
AR;1108076.84436953;1137751.8347075;1175876.65922612;1227480.60041544;1287414.32225662;1412331.48193205;1175189.029021;1096593.39534134;1345761.23289706;1406432.37362884;1396476.82436568;1444836.83880655;1407621.0791799;1563553.72397342;1255769.79777112;1793830.51271657;1532798.24790244;1731333.59158649;1742785.62419152;1932360.80672739;1426587.17760434;2106045.9779537;1976767.43210782;1461737.32510257;1943661.5535403;1895065.4153664;1701851.98530476;1839499.74337415;2094591.65104427;2014093.54560362;2138236.66413979;2170844.99095848;2725566.54250964;2216471.95362844;2734340.22671597;2371826.4476447;2748714.5700837;2586045.0707049;2564413.93585946;2637045.08197232;2410809.48115141;2782061.96099067;2804702.47646477;3206608.92741623;3042396.1254573
AZ;738442.734554731;771680.27156695;753770.24598679;816538.315584629;730670.969946477;780930.627256349;755405.097425715;717927.037484711;754052.99674852;829165.318310559;755786.958650283;704361.335936118;758280.178349953;801695.240032274;873530.732972502;822111.58857019;916677.088192185;913433.09839479;967590.767831038;1092932.29076714;1030076.02623751;1220272.2092189;1197833.11955404;1009949.23995026;1030282.50671918;1028912.63039302;1065100.45180556;1111655.69276684;957623.033056457;1214332.91054638;964758.308044998;1029550.52728226;1087701.60970655;1034473.92274065;1185575.98673955;1084022.24066793;1238620.25683355;1271042.30227233;1401733.84820947;1382365.02326751;1342204.93264532;1340781.33222898;1344124.75103025;1478967.79833637;1413639.99440585
CA;6330540.26829822;6190758.80509219;6515070.25791779;6648915.68500467;7003277.18164392;6748455.38186374;7238944.2101637;6507224.87787324;7488768.01928686;7757297.43415808;7445929.67871155;7643640.68198201;7815806.74434687;8593410.2494718;9208117.03184783;9785781.03839427;10030598.2229549;10168649.4406904;10058857.6268881;11414807.481584;12130952.4672778;12231829.6133144;12821685.5993215;11327294.7178103;12647358.4714115;12699811.2128255;12334950.4578267;14024291.6005437;12008513.1482779;14190606.3883899;14744062.9394282;13308649.3646909;15088180.0908056;15598637.7059323;16725175.5289134;15243448.0725965;16003488.9549194;17770974.0736258;16357471.4225024;17579089.7223934;18579986.087674;17937959.8143584;19386468.3344712;18736892.7829024;19150237.2474847
CO;929159.40141776;895571.205253395;804360.306098021;700860.678170756;706077.236451079;689923.98211848;828230.516031616;782945.519409911;886017.67609459;972174.055685743;1053911.21062762;1014736.73067825;981791.373771884;1065703.69940035;1071534.4082575;1033914.76714875;1098084.05909715;1120240.82566417;1153702.45065783;1325225.65254706;1410486.94269593;1435034.58306534;1370537.59963568;1419744.72934447;1517992.34716458;1670235.92387604;1468712.07875721;1538242.04977128;1470878.31680737;1423371.29658254;1537060.71531496;1503724.56439478;1546454.21917252;1646926.41922201;1646187.39227223;1638410.83045492;1673184.44335115;1872027.5755918;1931946.9073817;1956250.17114303;1782720.63103058;1830916.65269911;1470321.68984595;1610962.54271379;1650011.64978304
CT;181811.958891498;179208.586676155;177020.833776337;184289.316527721;178393.589109437;181387.618344757;182070.145003152;174602.820534807;161075.11184278;161645.327403189;154479.354077046;161988.47203225;140100.262759095;150960.844329259;153123.215074398;174148.526419895;147647.269682129;165635.755418985;174183.155953418;171568.995154757;160791.360213252;152917.45257058;165834.071219032;161561.403575081;181681.5795464;185991.361920229;189328.723380524;187579.688400634;184766.629997038;183777.802787592;196018.646933424;191038.910273303;198849.898326633;191683.118873205;197965.138338228;212440.787081054;226648.600040755;235767.897257117;241071.870840676;237068.001007087;274924.476311281;242480.200197078;261203.838395856;245755.446306834;258726.730896925
DE;103970.455559259;100525.658331535;95684.1361097346;92609.339076964;83383.8238865856;115111.194861702;81907.5752851325;126420.156945991;98066.5705528845;121770.426692995;116684.956139897;113325.360985182;119298.562619146;129049.472825081;124994.622008259;139596.392944367;136664.594986044;117965.015671465;142518.00516861;150639.71507809;117848.647183967;142559.490059912;158141.138591232;139039.488464509;155797.976054637;179341.167804218;150164.437916508;133947.908432145;147918.35044191;158532.566596782;188125.591559606;199258.988251179;200986.096186634;162665.259039988;206226.808757533;163170.64680498;199970.699285706;184633.378281428;188717.218438661;176907.037340056;221765.573885994;202704.041038184;163382.331398329;173682.843809261;213837.279327178
FL;1640460.99817018;1814980.82714877;2080399.63956693;1694512.93835027;1649090.95276072;1964236.72987454;2100662.70639378;2476637.15825883;2072250.31260471;2401593.07781454;2342361.19711412;2380532.63162266;2546442.82535751;2886119.37556786;2911032.89472034;3196458.08625008;3342212.17936503;3163387.98773313;3413829.06645703;3414059.50566706;3889306.42532416;3698237.24114936;3630059.57242752;3738800.73419358;3624242.28068144;3599917.11065275;3886980.97835721;3911331.34436171;4283143.11754145;4177692.82523418;4012020.6197747;4166092.7236928;4320330.75174927;4480983.13098968;4717210.96606045;4654538.46390829;4653300.42513428;4886151.56355009;5121480.8332871;4873635.54680891;5144499.82282883;5075275.63290513;4795300.91968377;4794748.35656813;5019090.27041022
GA;980713.669153828;1040039.90624168;951300.664525309;1169238.548072;1071216.75115537;1136518.70091129;964442.463469407;1179654.24336524;1023457.38965168;1027189.36699596;1071619.94448735;1338386.07639367;1251279.2411645;1372898.71012335;1555769.13805799;1623020.98522697;1550449.61203032;1193715.09914274;1494011.2023014;1748850.72343337;1255329.85059175;1746811.61521752;1860586.29727622;1582353.24907762;1838389.43459794;1773260.04082954;1360146.52915576;1443693.64486139;1558691.66956182;1728280.10905192;1457913.01715756;1840259.24051724;1861669.69657054;1672202.71113037;2112327.76557757;2150012.24138318;2230604.69375091;2321096.97011707;1946682.11649634;2072203.61601948;2036482.23408268;2202657.26961336;1995885.99185548;2358022.90416475;2126827.6610477
IA;3703850.59607;3750363.78551968;3770170.8246812;4219102.84586969;3978142.83625377;4092954.3593427;4552042.80670877;4763633.81279853;4757890.6134308;4828318.74999359;4625643.91212697;5586866.41758128;5975483.6030274;6260444.57738299;5052603.42669159;5829701.44474754;5775021.81208342;5964436.99760296;7295950.45078099;8037017.78456486;7464752.3366011;8355723.39035015;7676772.75317007;4757267.81756937;6921018.77980456;7980743.97118289;7931150.51930225;6849057.84645169;4951060.69674384;7035223.94518089;7420013.05094641;7053317.3406649;8536765.2529601;4753997.14974696;9027297.51421742;7239811.88967548;8210158.17848113;8430388.98351616;8880715.51562976;8790431.29604797;8625983.30083348;8536340.28501459;9396658.06998604;8205111.58105162;10315344.8325877
