Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;2579067.18045697;2412075.95640737;2287846.1723281;2261333.91120453;2193284.30406403;2164871.23626426;2024596.71533436;2042839.21946582;2029278.21222926;1936678.14142046;1697994.99077901;1630234.33809399;1609743.77247199;1687921.09173751;1386407.86277755;1376627.91645075;1440738.30278017;1394940.74140805;1380289.33461066;1346512.15451418;1466580.08065019;1776602.58221102;1105566.76986134;836060.206287081;1025599.8056721;1027540.25458761;796712.061092358;954218.38402564;942801.392446213;1003131.64131193;1034165.56784059;1074745.63148321;1320916.95565714;1023140.48170335;787108.638027471;893392.540879373;752759;849217.966284048;866421.816035194;909594.982866946;868120.262318679;980100.150396261;1075150.8710725;763818.105256064;766432.882679595
AR;3580066.0100675;3307141.60207655;3204811.29628924;3099919.68643574;2752504.73672583;2673838.01789975;2208943.96959539;2395551.19336295;2399420.07740542;2563594.16901595;2285990.04415732;2318879.99174233;2284469.42844669;2293446.02615607;2082305.69286605;1881783.7131047;1887422.8537196;1900717.63243146;1790444.55416252;1543286.42278737;1815610.2747599;1821380.13423429;1372654.9983295;1766719.26663693;1576759.09526007;1652801.62683932;1365779.84032389;1309747.60998245;1380200.66538035;1333456.56734138;1313958.12518037;1345000.69410644;1294348.8999516;1226853.56906427;1153571.55588779;1515417.20554165;1360569.99530188;1238707.22682001;1146836.93301454;1273886.28771812;1367668.69956093;1340006.20534649;1228874.09105615;1157603.81225716;1200556.81617893
AZ;735943.413805261;660666.085030281;618991.154555075;606916.14741921;630572.245987118;627952.929251171;607488.591972437;622616.679219709;616994.775165218;636596.889887353;610958.064756892;596212.319336961;602588.142213137;615065.632753495;563520.578612958;594437.457637268;563532.695970695;631064.967873819;845932.893338074;701291.10580902;816458.077240757;751291.233128807;862331.909326466;834095.595297432;845180.350504232;772226.998673724;700780.630157497;820163.446904335;783803.441234207;747445.759539442;771752.756734259;715133.590233256;775350.583564387;624497.889108677;691990.95339333;846322.275902036;751252.978972549;649054.047271714;718285.12755817;650641.009760081;659824.708245235;649830.740552802;604069.023759071;538634.49251234;518276.416952811
CA;9090775.44895617;8684713.64013926;8284814.78843501;7787796.00252118;7416131.5278257;7643761.98790012;7563216.77053846;6442751.93537992;6767091.62743919;6638164.46073991;7138670.84523489;6652816.75561527;6944042.67681628;7108914.46517034;7327570.37228465;8152334.95481322;7685166.86769032;7140240.37688451;5878210.15691503;6818734.59373225;6506787.18467549;6372509.23484336;6204928.73269255;6361261.86866996;6103772.52143447;5944202.27785739;5577076.21633971;5766169.20499139;6126927.19308864;6496328.49138838;5947510.45584239;6431383.72958752;5614207.29411369;5745801.15290485;5945343.61214224;6459541.81374431;6785586.82855423;6304163.05616064;7751129.69783223;8450987.95891987;7222219.84372154;6537093.02814169;7535003.24617138;6784321.61331896;6469943.06763499
CO;1736335.47979639;1655862.58587842;1651871.35418925;1513013.1695555;1402351.94529046;1368690.13354335;1428158.96999259;1481968.46448869;1562394.37389017;1550809.3213717;1559295.84612552;1479461.55997966;1405538.49989341;1546855.13093623;1887393.57555929;1741615.14861523;1541174.37945137;1465592.74989707;1412204.013709;1298052.34452003;1507772.97727795;1654219.06036364;1309691.0919548;1343351.69918354;1344472.79291539;1674492.78869633;1443074.16354968;1733938.93830165;1457760.3564625;1516498.213888;1357289.7763198;1059990.01303442;985190.307647958;964645.428892242;937979.960584697;940434.695716599;1058868.50828974;1083135.13085372;1036302.1165821;1081199.6095232;1071188.20099668;1048454.77028471;840431.256213049;914765.480487115;833018.57920238
CT;677535.10158364;622402.531430403;632950.192922856;584114.577907934;568683.234209988;562774.093918633;505439.356710259;404541.998280215;400713.232887263;374647.945108206;357361.245501039;340362.64838525;392297.718138145;402375.155341195;337289.093281926;362357.265229673;378919.344290147;396290.834824172;351930.486451373;322742.725023358;345777.036493656;363485.802751932;280107.11741577;338140.528587845;367106.876230877;316169.175991985;258533.700105253;264719.917675044;254322.338647789;270682.108904665;265987.543570514;273978.643941831;302214.989303243;303957.006321478;320151.010044252;278280.457864656;240880.542467158;269460.320008013;272482.683960539;257509.489527044;247443.484498421;236656.137337468;239623.318614344;220433.194189387;201993.284739894
DE;259322.229502323;241924.375933242;240727.581227284;223868.824654704;198193.883024203;208429.746920559;182417.124119057;147792.747701137;136374.509516182;146259.444212335;152632.120862815;138487.793391536;137090.877209868;143260.169905535;152619.418087184;157969.388949378;153524.5902006;145101.359901696;136198.445224641;134390.877281982;132149.80084074;110509.353513053;160219.418272702;129851.172804743;192720.340567349;128815.240811229;132470.162669455;124483.592178251;126486.58671177;132436.293180137;106841.889573263;89884.1839516495;107813.16829935;91386.3740117847;110881.201968275;101277.048609985;85887.5366189;115281.938009135;93911.1337733168;105496.007588192;94025.6164212583;109303.983198675;87149.0204343686;74702.8584091123;80366.5832427607
FL;2036347.67024932;1954380.48892608;1983156.26847315;1933948.38749256;1972780.49291214;2097777.8304232;2080316.45321943;2284122.60688724;2115445.3447598;2038216.44108691;2353948.43445124;2340900.98563773;2253778.7827819;2325726.41180089;1887863.50300126;1797640.85546688;1974024.35013286;1969448.03914952;2004872.26819524;2123892.18331541;1997438.50023038;1892629.47945856;2003437.78490015;1917986.74789935;1798991.5919173;1735029.85495551;1748605.94781055;1763342.24182746;1916614.77760851;1813398.2870868;1710964.23619408;1837945.25973703;1992583.79111818;1859787.2815715;1885087.5971248;1820530.3261717;1691103.98153533;1821012.53557369;1813908.44260054;1911266.03933629;2046578.46712433;1943531.03992664;1858198.11656864;1851801.24102011;1835233.87482594
GA;3111916.43393071;2913310.28812524;2725321.79839139;2930416.00600103;2670303.94344276;2635824.00960213;2172369.14349842;2201852.46186208;2180032.05323054;1991365.00987488;1998625.35406387;2013770.74960119;1996716.04391139;2152275.37674365;1789144.56809985;1607289.58190844;1703748.13105373;1492095.36375846;1436171.28713187;1789929.00944885;1857081.53866774;2124105.57792817;1569456.7488707;1549405.2778568;1532320.65991586;1352593.35781347;1190584.74997818;1060148.50739684;1051872.1255267;1269400.8908508;1166975.73825402;1237495.07965489;1210256.87659629;1134345.3361668;1115364.44724854;1065533.16443628;1065619.79974277;1087864.79716242;1032556.4488382;1006412.85027285;1030476.1311711;1122094.28593349;1059766.49910268;1119371.1924311;1090596.61852551
IA;8382091.76314244;8052275.44546;7940135.56903869;7652665.72060957;7169636.01140733;7097767.77297133;6929328.727587;6514052.18490265;6135141.12165163;6103950.07336739;5819768.14053765;5750845.27306075;5818498.96728817;5804415.45780593;5561982.70763355;6096741.92175688;6291985.11568901;6027273.87828172;6391094.24352219;6542794.15284487;6337520.19428658;4691110.38897704;5631216.10477112;5372095.05732829;5247608.88230294;4824992.51707743;4919195.69197329;4883358.49952102;4983796.07139746;4655238.2934883;4786438.33886295;4201631.0045677;4082067.4592017;3478757.79813502;3456021.51817577;4023580.63006061;3348909.37304372;3285387.58489126;2890520.69866493;3149361.12945365;3116836.1073473;2947538.00088842;2758305.03088092;2524179.42827233;2296282.62448123
