Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;562534.556708;551719.000214;545366.3881;541013.095102;536155.37927;528658.876018;518575.631564;506286.40278;492306.357668;477259.58947;461836.921632;446852.477536;433093.857666;421447.239336;412803.667336;407711.181088;404900.56751;402597.68479;398987.053818;392774.759682;384537.600652;375307.441058;366077.01906;357621.890168;349906.688942;342686.013664;335689.34551;328650.243162;321514.863762;315076.33916;310325.171172;308231.454778;309741.850626;315342.737532;323647.638558;332805.31279;340968.069254;346267.83575;347284.845492;344464.419344;338710.88817;330941.173104;322093.713984;313120.623236;304021.936714
AR;571097.582472288;571804.727631487;574446.891512426;578042.935452144;581463.917677374;583518.889673198;583536.214064184;581031.749775028;575718.1651605;567498.090941338;556695.496436868;545048.600740643;534592.145197797;527370.826307049;525414.219818711;529860.471033069;538221.284765825;547100.420092948;553129.03860412;553870.09383939;550528.97026657;545178.134023343;539861.217658075;536140.722268894;533849.951606931;532406.12329992;531262.719732417;529871.725827861;527924.488607552;525831.436723518;524214.672375031;523721.018567705;524967.560270927;528326.160609533;533044.296585172;538132.831194515;542609.77078267;545526.063166094;546175.040804844;544826.806744339;541987.410169995;538158.73669265;533836.61346546;529533.575404721;525247.517777818
AZ;1287790.95677277;1295911.97758288;1302116.05171986;1300250.65130539;1282551.65174111;1243950.32380581;1190106.18587044;1129979.16893628;1072423.02205165;1027058.32716821;1001038.54237759;992033.250350586;995098.688541617;1005441.84931928;1018117.81150026;1028734.94358515;1035755.76827051;1041954.5430513;1044763.45948083;1045848.3881477;1045966.08252255;1045305.26537085;1043522.51073813;1039716.35471833;1033044.67840146;1023268.4771656;1010808.17190285;996320.047002262;979653.916133062;959593.907863065;935623.886848018;908724.967971505;880959.725232504;853942.997469242;826356.048165519;796365.773238316;763171.620006312;727253.189746861;689860.66770057;651602.014235398;612119.427382312;570748.672922755;527007.793338022;480862.555137059;432299.200987636
CA;2181430.60841675;2208549.25836769;2238620.91909218;2258391.05117235;2263358.8335908;2254432.11612235;2234537.11527214;2206962.55034828;2173374.9822061;2136297.09355055;2097961.76666462;2060433.25986945;2025815.72057114;1996861.37140234;1976687.95779752;1967192.64397328;1964558.34903813;1963556.00237206;1959666.33824729;1950021.4504422;1936177.40216959;1920630.81422764;1905617.49485087;1892467.71047074;1879970.73736161;1866416.80533196;1850323.34882169;1830777.01025169;1807544.74516113;1782605.15860404;1758700.37837849;1739036.7516962;1726861.42768471;1724144.24148663;1727901.791386;1734164.24746065;1739433.04544239;1740768.15245061;1736180.13305778;1726168.89635969;1711680.92142703;1693685.23771422;1673360.88580714;1652108.19706322;1630006.8924615
CO;985996.467817417;986853.644959013;985623.447275735;982185.806617496;975708.793157933;965484.542044542;952145.435574351;937028.419998114;921763.581517715;908692.464163931;899374.38436614;893358.739126236;889620.972378916;887232.353240028;885515.058673736;883689.909441;880599.089857285;875950.309316283;867961.167886873;856506.432284752;843503.32525543;831507.181623895;823113.345048478;820181.728851439;821638.576652054;825740.322715509;830935.638987813;835853.911737766;839479.320867602;841387.421196316;841191.54783462;838526.824672123;832931.316732069;824140.610476314;812801.775382555;799891.37874282;786554.66266954;774055.832907912;763419.396492159;754481.230056785;746720.5681839;739628.228389035;732718.529891096;725544.055657688;718324.886695977
CT;77614.5571320371;74596.7062426678;72267.7062453159;70154.4350771001;67726.2695618857;64651.6354745193;61032.471851916;57137.7145890325;53226.1707914206;49555.5738287053;46340.9617270464;43681.9203566852;41651.5294126861;40322.119977482;39776.8118044435;40017.4505452459;40734.7805349846;41545.3418142297;42060.2463657835;41981.2638119434;41396.0638396625;40496.256327976;39482.4504163582;38521.866583146;37626.7136449997;36763.4030717408;35895.6729727269;34987.7620261931;34031.3557248292;33122.1908913493;32391.1680797243;31979.2662179329;32027.0611348443;32606.3344970959;33525.7164029432;34530.3292349283;35373.6058496722;35823.9296217915;35713.8920795345;35111.1547192091;34137.5115055682;32912.7193972483;31558.2873439566;30199.0671723392;28835.5038823022
DE;39547.8878263042;39113.7015513141;38758.3054988489;38449.6646679634;38174.8671382122;37914.7901512009;37628.2254638957;37265.4248505565;36778.1237033039;36115.1220669798;35270.1875225678;34383.3100125121;33623.3349769666;33153.0896372154;33129.1082396952;33630.660621997;34454.3745349951;35326.9682773476;35979.5517338861;36205.6762260038;36057.5308948014;35655.2060059005;35122.2003451581;34564.9752509426;34018.8483011901;33502.4987150431;33034.0752039114;32632.323984878;32313.480462776;32072.5204362604;31899.3136878487;31783.3650545446;31713.1756926626;31672.8612923479;31631.4884534116;31556.2362375267;31416.139033956;31182.8580021871;30836.8194361476;30392.768358594;29872.4494665635;29299.3487593412;28697.632845101;28092.1531282762;27483.8765695309
FL;735877.912037217;741192.668422348;753648.352492731;766366.054474003;772341.331033646;766235.710720937;749290.517338789;725111.475046279;697930.122353373;672475.907218234;653159.112498785;639991.049200681;632095.008671632;628407.13532661;627795.415381461;629508.217132663;632538.543529634;635930.63849169;638777.042034022;640277.872801234;639505.515730003;635551.530110925;627437.315622838;614582.101580183;598409.162660416;580920.392950985;564261.625155059;550736.60969732;541990.458620256;537193.686294895;534919.022779163;533890.534304796;533030.782305137;531585.836908431;529503.080836066;526896.997753065;523850.157541661;520459.50855433;516777.082119142;512761.388347302;508365.693227672;503558.882246406;498377.020254352;492919.631356164;487206.424281858
GA;733463.589692877;719208.04050983;709307.163778662;700557.083142415;689429.879600376;673363.548238042;653070.682174743;630106.45043685;606138.424372374;582609.342648186;560783.306354268;541300.543987341;524709.448766771;511738.769809054;503016.912373336;498552.184040931;496519.783702875;494726.578712507;491098.406522327;484179.703511639;474422.19163791;462831.64608428;450507.532179498;438357.8825801;426565.494661746;415125.188703017;404090.501721903;393626.614943443;384024.24237157;375928.592318127;370059.738184845;367166.643656557;367979.079593048;372762.840167332;380139.090455926;388397.648483033;395966.277812626;401344.696623107;403411.422583574;402518.456817225;399341.123938132;394564.949607508;388903.846544712;383189.836041314;377297.510578472
IA;1160664.00010688;1159368.54658981;1158184.33824332;1157271.20007763;1156717.70713854;1156579.28752382;1156488.5860066;1155881.7835944;1154281.46447002;1151195.18179067;1146447.99993201;1140898.32536171;1135773.85063732;1132252.9710588;1131560.55743344;1134357.21963542;1139019.62119655;1143383.45025033;1145278.95824789;1143140.52583023;1137938.69356118;1131261.46507836;1124720.57261575;1119582.23939564;1115745.7587238;1112779.811404;1110260.82747408;1107771.77416208;1105044.45123896;1102529.70007453;1100890.87830952;1100738.89753517;1102677.28414219;1107051.7032367;1112924.97642824;1119124.31128233;1124454.96461928;1127744.60135853;1128139.6259358;1125973.81786069;1121895.52812935;1116521.59739948;1110508.93860126;1104494.45767372;1098478.31099154
