Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;1026958;1110668;1141001;1167862;1226956;1324489;1439558;1468954;1490098;1564003;1607083;1669235;1710565;1659301;1623803;1639530;1735746;1718966;1713119;1717334;1706441;1735439;1665807;1669479;1679148;1739221;1807407;1944651;1988062;2055211;2290086;2397006;2246228;2220643;2318216;2337714;2279778;2347068;2433484;2613269;2651060;2575647;2651414;2654207;2654170
AR;731278;871876;886408;961961;1043456;1113806;1249180;1340997;1380360;1458378;1551776;1637536;1734381;1650672;1686290;1618408;1795793;1890874;1970280;2038408;2028543;2082677;1963644;1951665;2113268;2198933;2286188;2571076;2580547;2762317;2865861;2964751;2978510;3080215;3186852;3193049;3390726;3317820;3304414;3464375;3433855;3402340;3434599;3406461;3534949
AZ;462920;489099;560531;545083;546824;592157;606478;639405;717196;833689;799251;848185;928505;966740;840078;846336;779779;809871;950978;741900;766883;689037;707300;753555;784848;753796;761937;759885;723233;669292;721145;746747;816385;815455;762078;803494;801330;891218;880671;971801;1018965;1061578;1048552;1096232;1028528
CA;3525123;3737849;3955306;3959823;3938974;4155355;4189060;4322908;4318189;4330162;4414052;4458659;4670082;4573954;4690357;4641903;4775272;4641420;4901478;4826314;4721706;4886900;5048296;5037017;5224253;5393629;5460165;5397411;5741280;5879892;6178885;6186839;6172666;6196002;6650329;6621218;6750365;7405348;7106205;7592925;7888342;8070851;8323412;8253166;8497604
CO;1019179;1081914;1128418;1261808;1250760;1260621;1396024;1593563;1552706;1693372;1860257;2146156;2299278;2073141;2030656;1880530;2083944;2144448;2322732;2121157;1969764;1854838;1876935;1871928;1989927;2018917;2184043;1966661;2125714;2033126;2069070;1989731;2217441;2282397;2332455;2317063;2475803;2458921;2628141;2681441;2789949;2721639;2773633;2568552;2473841
CT;206391;204307;199801;197942;200775;202088;199679;192641;186493;178709;178429;174969;177630;169159;158802;161773;166977;174017;173549;175888;177137;183752;193741;197281;200697;199154;203509;190271;181251;162208;193264;188095;234228;243643;232552;257823;214716;200948;203992;217083;209952;209715;204665;182376;175864
DE;186637;182866;187158;208479;215326;214245;231111;238450;219785;257784;253049;244659;254214;272194;281680;263106;299955;301787;316028;348514;326295;346738;370264;389624;407836;419718;427627;465423;475782;489902;505515;526352;542770;559500;587767;595118;601199;603383;605411;613119;638581;647702;667274;645876;638813
FL;595706;617325;645136;679357;719897;739586;794801;867873;903605;950490;989876;1049135;1062705;1071355;1136396;1113884;1086623;1091499;1078056;1106423;1152508;1090772;1211816;1177281;1138401;1152834;1203279;1166486;1193930;1218092;1195275;1200713;1322138;1354218;1386516;1340807;1341273;1346572;1342384;1352176;1304934;1441073;1298058;1207096;1187189
GA;1216979;1321445;1356848;1455282;1519790;1605657;1743187;1829251;1859623;1971834;2013019;2069963;2073439;1996986;2034771;1873567;1989515;2032363;2082596;2253903;2560906;2608977;2535570;2472173;2437176;2527366;2502530;2559443;2606753;2688948;2587073;2624434;2736746;2899743;3083506;3177764;3355472;3392657;3426069;3576479;3532826;3636478;3650611;3579033;3629648
IA;6021074;6359994;6366166;6643172;6992016;6599894;6948962;7234754;7154594;6743243;6874781;6799514;6596229;6165854;6065109;5641993;6346547;6719355;6586093;6347691;6572951;6328852;5970218;5776304;5388815;5338812;5322189;5569543;5574722;5485811;5427129;5585835;6113481;5903828;5767237;5654903;5081024;5590362;5873931;6183717;6307649;6122126;6549454;6641569;6769748
