Year,Attribute,Value
1948,"Total output: Price (index, 2015=1)",0.292460865
1948,"Total output: Quantity (million, $2015)",146220.1701
1948,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.267200039
1948,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",71757.71044
1948,"Livestock and products: Meat animals: Price (index, 2015=1)",0.185527961
1948,"Livestock and products: Meat animals: Quantity (million, $2015)",44354.36876
1948,"Livestock and products: Dairy: Price (index, 2015=1)",0.273847181
1948,"Livestock and products: Dairy: Quantity (million, $2015)",16027.18707
1948,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.607328909
1948,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",6341.652679
1948,"Crops: All crops: Price (index, 2015=1)",0.320798747
1948,"Crops: All crops: Quantity (million, $2015)",71694.1094
1948,"Crops: Food grains: Price (index, 2015=1)",0.445233631
1948,"Crops: Food grains: Quantity (million, $2015)",7015.583911
1948,"Crops: Feed crops: Price (index, 2015=1)",0.343947332
1948,"Crops: Feed crops: Quantity (million, $2015)",30472.97684
1948,"Crops: Oil crops: Price (index, 2015=1)",0.332809125
1948,"Crops: Oil crops: Quantity (million, $2015)",4490.347837
1948,"Crops: Vegetables and melons: Price (index, 2015=1)",0.211695979
1948,"Crops: Vegetables and melons: Quantity (million, $2015)",8087.069066
1948,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.127666702
1948,"Crops: Fruits and tree nuts: Quantity (million, $2015)",8835.506671
1948,"Crops: Other crops 2/: Price (index, 2015=1)",0.343873723
1948,"Crops: Other crops 2/: Quantity (million, $2015)",12720.59609
1948,"Farm-related output 3/: Price (index, 2015=1)",0.092543449
1948,"Farm-related output 3/: Quantity (million, $2015)",6382.234603
1948,"Total farm inputs: Price (index, 2015=1)",0.11210969
1948,"Total farm inputs: Quantity (million, $2015)",381444.9705
1948,"Capital: All capital: Price (index, 2015=1)",0.149914796
1948,"Capital: All capital: Quantity (million, $2015)",106525.7346
1948,"Capital: Durable equipment: Price (index, 2015=1)",0.087233256
1948,"Capital: Durable equipment: Quantity (million, $2015)",13077.49276
1948,"Capital: Service buildings: Price (index, 2015=1)",0.069873423
1948,"Capital: Service buildings: Quantity (million, $2015)",4946.267443
1948,"Capital: Land: Price (index, 2015=1)",0.184905182
1948,"Capital: Land: Quantity (million, $2015)",77896.63606
1948,"Capital: Inventories: Price (index, 2015=1)",0.024911002
1948,"Capital: Inventories: Quantity (million, $2015)",3206.905691
1948,"Labor: All labor: Price (index, 2015=1)",0.036017279
1948,"Labor: All labor: Quantity (million, $2015)",291283.931
1948,"Labor: Hired labor: Price (index, 2015=1)",0.036937608
1948,"Labor: Hired labor: Quantity (million, $2015)",81395.51033
1948,"Labor: Self-employed and unpaid family: Price (index, 2015=1)",0.035487479
1948,"Labor: Self-employed and unpaid family: Quantity (million, $2015)",210910.9855
1948,"Intermediate goods: All intermediate goods: Price (index, 2015=1)",0.161117354
1948,"Intermediate goods: All intermediate goods: Quantity (million, $2015)",101184.873
1948,"Intermediate goods: Feed and seed: Price (index, 2015=1)",0.230502964
1948,"Intermediate goods: Feed and seed: Quantity (million, $2015)",50579.16422
1948,"Intermediate goods: Energy: Price (index, 2015=1)",0.056406504
1948,"Intermediate goods: Energy: Quantity (million, $2015)",19182.03802
1948,"Intermediate goods: Fertilizer and lime: Price (index, 2015=1)",0.10814292
1948,"Intermediate goods: Fertilizer and lime: Quantity (million, $2015)",7638.040448
1948,"Intermediate goods: Pesticides: Price (index, 2015=1)",0.49686202
1948,"Intermediate goods: Pesticides: Quantity (million, $2015)",237.4904807
1948,"Intermediate goods: Purchased services: Price (index, 2015=1)",0.09190936
1948,"Intermediate goods: Purchased services: Quantity (million, $2015)",26516.65706
1948,"Intermediate goods: Other intermediate: Price (index, 2015=1)",0.089047287
1948,"Intermediate goods: Other intermediate: Quantity (million, $2015)",2031.179302
1949,"Total output: Price (index, 2015=1)",0.257568174
1949,"Total output: Quantity (million, $2015)",143973.5903
1949,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.226090664
1949,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",72255.08163
1949,"Livestock and products: Meat animals: Price (index, 2015=1)",0.158814998
1949,"Livestock and products: Meat animals: Quantity (million, $2015)",45932.89463
1949,"Livestock and products: Dairy: Price (index, 2015=1)",0.22382861
1949,"Livestock and products: Dairy: Quantity (million, $2015)",16745.10692
1949,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.51840302
1949,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",7262.20885
1949,"Crops: All crops: Price (index, 2015=1)",0.290543321
1949,"Crops: All crops: Quantity (million, $2015)",69391.04401
1949,"Crops: Food grains: Price (index, 2015=1)",0.430402742
1949,"Crops: Food grains: Quantity (million, $2015)",6025.809274
1949,"Crops: Feed crops: Price (index, 2015=1)",0.311324593
1949,"Crops: Feed crops: Quantity (million, $2015)",28020.24539
1949,"Crops: Oil crops: Price (index, 2015=1)",0.276304375
1949,"Crops: Oil crops: Quantity (million, $2015)",4294.471577
1949,"Crops: Vegetables and melons: Price (index, 2015=1)",0.176433342
1949,"Crops: Vegetables and melons: Quantity (million, $2015)",9159.266495
1949,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.1188477
1949,"Crops: Fruits and tree nuts: Quantity (million, $2015)",7816.726799
1949,"Crops: Other crops 2/: Price (index, 2015=1)",0.316015764
1949,"Crops: Other crops 2/: Quantity (million, $2015)",13987.43435
1949,"Farm-related output 3/: Price (index, 2015=1)",0.097490714
1949,"Farm-related output 3/: Quantity (million, $2015)",6007.86452
1949,"Total farm inputs: Price (index, 2015=1)",0.095916098
1949,"Total farm inputs: Quantity (million, $2015)",386619.3019
1949,"Capital: All capital: Price (index, 2015=1)",0.099853147
1949,"Capital: All capital: Quantity (million, $2015)",108475.1662
1949,"Capital: Durable equipment: Price (index, 2015=1)",0.098183192
1949,"Capital: Durable equipment: Quantity (million, $2015)",15432.34785
1949,"Capital: Service buildings: Price (index, 2015=1)",0.081008442
1949,"Capital: Service buildings: Quantity (million, $2015)",5160.906239
1949,"Capital: Land: Price (index, 2015=1)",0.110763066
1949,"Capital: Land: Quantity (million, $2015)",78163.03872
1949,"Capital: Inventories: Price (index, 2015=1)",0.069382538
1949,"Capital: Inventories: Quantity (million, $2015)",3469.673628
1949,"Labor: All labor: Price (index, 2015=1)",0.036402311
1949,"Labor: All labor: Quantity (million, $2015)",284264.0271
1949,"Labor: Hired labor: Price (index, 2015=1)",0.037335003
1949,"Labor: Hired labor: Quantity (million, $2015)",75623.31187
1949,"Labor: Self-employed and unpaid family: Price (index, 2015=1)",0.035865906
1949,"Labor: Self-employed and unpaid family: Quantity (million, $2015)",209794.5345
1949,"Intermediate goods: All intermediate goods: Price (index, 2015=1)",0.152010554
1949,"Intermediate goods: All intermediate goods: Quantity (million, $2015)",104621.4224
1949,"Intermediate goods: Feed and seed: Price (index, 2015=1)",0.208723543
1949,"Intermediate goods: Feed and seed: Quantity (million, $2015)",52397.41654
1949,"Intermediate goods: Energy: Price (index, 2015=1)",0.057449825
1949,"Intermediate goods: Energy: Quantity (million, $2015)",21235.6781
1949,"Intermediate goods: Fertilizer and lime: Price (index, 2015=1)",0.120833606
1949,"Intermediate goods: Fertilizer and lime: Quantity (million, $2015)",7406.879813
1949,"Intermediate goods: Pesticides: Price (index, 2015=1)",0.484944109
1949,"Intermediate goods: Pesticides: Quantity (million, $2015)",286.6309693
1949,"Intermediate goods: Purchased services: Price (index, 2015=1)",0.094205503
1949,"Intermediate goods: Purchased services: Quantity (million, $2015)",26443.54734
1949,"Intermediate goods: Other intermediate: Price (index, 2015=1)",0.093449678
1949,"Intermediate goods: Other intermediate: Quantity (million, $2015)",2374.243727
1950,"Total output: Price (index, 2015=1)",0.258880857
1950,"Total output: Quantity (million, $2015)",140499.9693
1950,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.226997257
1950,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",73506.7617
1950,"Livestock and products: Meat animals: Price (index, 2015=1)",0.174411533
1950,"Livestock and products: Meat animals: Quantity (million, $2015)",47112.88616
1950,"Livestock and products: Dairy: Price (index, 2015=1)",0.220118876
1950,"Livestock and products: Dairy: Quantity (million, $2015)",16895.42515
1950,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.43409447
1950,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",7796.620867
1950,"Crops: All crops: Price (index, 2015=1)",0.291317145
1950,"Crops: All crops: Quantity (million, $2015)",65303.28995
1950,"Crops: Food grains: Price (index, 2015=1)",0.407183611
1950,"Crops: Food grains: Quantity (million, $2015)",5616.910321
1950,"Crops: Feed crops: Price (index, 2015=1)",0.275975195
1950,"Crops: Feed crops: Quantity (million, $2015)",28732.41258
1950,"Crops: Oil crops: Price (index, 2015=1)",0.293342044
1950,"Crops: Oil crops: Quantity (million, $2015)",4361.508933
1950,"Crops: Vegetables and melons: Price (index, 2015=1)",0.162226423
1950,"Crops: Vegetables and melons: Quantity (million, $2015)",8851.825579
1950,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.152571799
1950,"Crops: Fruits and tree nuts: Quantity (million, $2015)",7786.497952
1950,"Crops: Other crops 2/: Price (index, 2015=1)",0.395901033
1950,"Crops: Other crops 2/: Quantity (million, $2015)",10793.22783
1950,"Farm-related output 3/: Price (index, 2015=1)",0.10879052
1950,"Farm-related output 3/: Quantity (million, $2015)",6093.832777
1950,"Total farm inputs: Price (index, 2015=1)",0.093571523
1950,"Total farm inputs: Quantity (million, $2015)",388716.0486
1950,"Capital: All capital: Price (index, 2015=1)",0.105009525
1950,"Capital: All capital: Quantity (million, $2015)",111202.3374
1950,"Capital: Durable equipment: Price (index, 2015=1)",0.106732208
1950,"Capital: Durable equipment: Quantity (million, $2015)",17806.69205
1950,"Capital: Service buildings: Price (index, 2015=1)",0.093711412
1950,"Capital: Service buildings: Quantity (million, $2015)",5332.296785
1950,"Capital: Land: Price (index, 2015=1)",0.116370915
1950,"Capital: Land: Quantity (million, $2015)",78347.07299
1950,"Capital: Inventories: Price (index, 2015=1)",0.046654375
1950,"Capital: Inventories: Quantity (million, $2015)",3423.890479
1950,"Labor: All labor: Price (index, 2015=1)",0.034867782
1950,"Labor: All labor: Quantity (million, $2015)",273492.3012
1950,"Labor: Hired labor: Price (index, 2015=1)",0.035902543
1950,"Labor: Hired labor: Quantity (million, $2015)",78839.7337
1950,"Labor: Self-employed and unpaid family: Price (index, 2015=1)",0.034300041
1950,"Labor: Self-employed and unpaid family: Quantity (million, $2015)",195496.0599
1950,"Intermediate goods: All intermediate goods: Price (index, 2015=1)",0.142092446
1950,"Intermediate goods: All intermediate goods: Quantity (million, $2015)",106686.7269
1950,"Intermediate goods: Feed and seed: Price (index, 2015=1)",0.190984824
1950,"Intermediate goods: Feed and seed: Quantity (million, $2015)",52257.40931
1950,"Intermediate goods: Energy: Price (index, 2015=1)",0.057979565
1950,"Intermediate goods: Energy: Quantity (million, $2015)",21783.63875
1950,"Intermediate goods: Fertilizer and lime: Price (index, 2015=1)",0.102902432
1950,"Intermediate goods: Fertilizer and lime: Quantity (million, $2015)",9474.994764
1950,"Intermediate goods: Pesticides: Price (index, 2015=1)",0.487705407
1950,"Intermediate goods: Pesticides: Quantity (million, $2015)",367.0248423
1950,"Intermediate goods: Purchased services: Price (index, 2015=1)",0.094453909
1950,"Intermediate goods: Purchased services: Quantity (million, $2015)",27083.65027
1950,"Intermediate goods: Other intermediate: Price (index, 2015=1)",0.098903118
1950,"Intermediate goods: Other intermediate: Quantity (million, $2015)",2061.040892
1951,"Total output: Price (index, 2015=1)",0.287985772
1951,"Total output: Quantity (million, $2015)",146748.7449
1951,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.26771536
1951,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",76461.04638
1951,"Livestock and products: Meat animals: Price (index, 2015=1)",0.207183139
1951,"Livestock and products: Meat animals: Quantity (million, $2015)",49698.61479
1951,"Livestock and products: Dairy: Price (index, 2015=1)",0.255945746
1951,"Livestock and products: Dairy: Quantity (million, $2015)",16620.55753
1951,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.501907071
1951,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",8359.557467
1951,"Crops: All crops: Price (index, 2015=1)",0.306451748
1951,"Crops: All crops: Quantity (million, $2015)",68897.40072
1951,"Crops: Food grains: Price (index, 2015=1)",0.405329404
1951,"Crops: Food grains: Quantity (million, $2015)",5543.154343
1951,"Crops: Feed crops: Price (index, 2015=1)",0.309514121
1951,"Crops: Feed crops: Quantity (million, $2015)",27760.19558
1951,"Crops: Oil crops: Price (index, 2015=1)",0.317212564
1951,"Crops: Oil crops: Quantity (million, $2015)",4560.187509
1951,"Crops: Vegetables and melons: Price (index, 2015=1)",0.192328021
1951,"Crops: Vegetables and melons: Quantity (million, $2015)",8984.650239
1951,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.135772191
1951,"Crops: Fruits and tree nuts: Quantity (million, $2015)",8521.627207
1951,"Crops: Other crops 2/: Price (index, 2015=1)",0.37923572
1951,"Crops: Other crops 2/: Quantity (million, $2015)",14007.48361
1951,"Farm-related output 3/: Price (index, 2015=1)",0.128450937
1951,"Farm-related output 3/: Quantity (million, $2015)",5278.476032
1951,"Total farm inputs: Price (index, 2015=1)",0.107052867
1951,"Total farm inputs: Quantity (million, $2015)",394772.7134
1951,"Capital: All capital: Price (index, 2015=1)",0.133367423
1951,"Capital: All capital: Quantity (million, $2015)",113413.1497
1951,"Capital: Durable equipment: Price (index, 2015=1)",0.115835059
1951,"Capital: Durable equipment: Quantity (million, $2015)",19873.27494
1951,"Capital: Service buildings: Price (index, 2015=1)",0.12428081
1951,"Capital: Service buildings: Quantity (million, $2015)",5489.109936
1951,"Capital: Land: Price (index, 2015=1)",0.152191671
1951,"Capital: Land: Quantity (million, $2015)",78426.64768
1951,"Capital: Inventories: Price (index, 2015=1)",0.058593437
1951,"Capital: Inventories: Quantity (million, $2015)",3507.626861
1951,"Labor: All labor: Price (index, 2015=1)",0.037044936
1951,"Labor: All labor: Quantity (million, $2015)",262983.5327
1951,"Labor: Hired labor: Price (index, 2015=1)",0.038296051
1951,"Labor: Hired labor: Quantity (million, $2015)",76119.11894
1951,"Labor: Self-employed and unpaid family: Price (index, 2015=1)",0.036380373
1951,"Labor: Self-employed and unpaid family: Quantity (million, $2015)",187660.1562
1951,"Intermediate goods: All intermediate goods: Price (index, 2015=1)",0.155942347
1951,"Intermediate goods: All intermediate goods: Quantity (million, $2015)",111539.4461
1951,"Intermediate goods: Feed and seed: Price (index, 2015=1)",0.211796457
1951,"Intermediate goods: Feed and seed: Quantity (million, $2015)",54683.35769
1951,"Intermediate goods: Energy: Price (index, 2015=1)",0.059486846
1951,"Intermediate goods: Energy: Quantity (million, $2015)",22609.73127
1951,"Intermediate goods: Fertilizer and lime: Price (index, 2015=1)",0.114941952
1951,"Intermediate goods: Fertilizer and lime: Quantity (million, $2015)",9256.846452
1951,"Intermediate goods: Pesticides: Price (index, 2015=1)",0.620417545
1951,"Intermediate goods: Pesticides: Quantity (million, $2015)",314.3044578
1951,"Intermediate goods: Purchased services: Price (index, 2015=1)",0.101209979
1951,"Intermediate goods: Purchased services: Quantity (million, $2015)",29464.05732
1951,"Intermediate goods: Other intermediate: Price (index, 2015=1)",0.1066772
1951,"Intermediate goods: Other intermediate: Quantity (million, $2015)",2118.009886
1952,"Total output: Price (index, 2015=1)",0.27830047
1952,"Total output: Quantity (million, $2015)",151500.7716
1952,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.241917741
1952,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",78184.6075
1952,"Livestock and products: Meat animals: Price (index, 2015=1)",0.176466114
1952,"Livestock and products: Meat animals: Quantity (million, $2015)",51664.29626
1952,"Livestock and products: Dairy: Price (index, 2015=1)",0.27218035
1952,"Livestock and products: Dairy: Quantity (million, $2015)",16779.29358
1952,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.447890438
1952,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",8522.396715
1952,"Crops: All crops: Price (index, 2015=1)",0.315065525
1952,"Crops: All crops: Quantity (million, $2015)",71712.90225
1952,"Crops: Food grains: Price (index, 2015=1)",0.410455461
1952,"Crops: Food grains: Quantity (million, $2015)",7111.899149
1952,"Crops: Feed crops: Price (index, 2015=1)",0.321398263
1952,"Crops: Feed crops: Quantity (million, $2015)",28682.21115
1952,"Crops: Oil crops: Price (index, 2015=1)",0.321670459
1952,"Crops: Oil crops: Quantity (million, $2015)",4560.549813
1952,"Crops: Vegetables and melons: Price (index, 2015=1)",0.236621375
1952,"Crops: Vegetables and melons: Quantity (million, $2015)",8549.523484
1952,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.129764856
1952,"Crops: Fruits and tree nuts: Quantity (million, $2015)",8453.752703
1952,"Crops: Other crops 2/: Price (index, 2015=1)",0.365190963
1952,"Crops: Other crops 2/: Quantity (million, $2015)",14049.87769
1952,"Farm-related output 3/: Price (index, 2015=1)",0.118332318
1952,"Farm-related output 3/: Quantity (million, $2015)",5528.744726
1952,"Total farm inputs: Price (index, 2015=1)",0.106557209
1952,"Total farm inputs: Quantity (million, $2015)",395681.685
1952,"Capital: All capital: Price (index, 2015=1)",0.123233828
1952,"Capital: All capital: Quantity (million, $2015)",115158.594
1952,"Capital: Durable equipment: Price (index, 2015=1)",0.117513595
1952,"Capital: Durable equipment: Quantity (million, $2015)",21602.70043
1952,"Capital: Service buildings: Price (index, 2015=1)",0.099254004
1952,"Capital: Service buildings: Quantity (million, $2015)",5632.86294
1952,"Capital: Land: Price (index, 2015=1)",0.137274371
1952,"Capital: Land: Quantity (million, $2015)",78380.02637
1952,"Capital: Inventories: Price (index, 2015=1)",0.090660871
1952,"Capital: Inventories: Quantity (million, $2015)",3685.938198
1952,"Labor: All labor: Price (index, 2015=1)",0.037359745
1952,"Labor: All labor: Quantity (million, $2015)",257106.4325
1952,"Labor: Hired labor: Price (index, 2015=1)",0.038729777
1952,"Labor: Hired labor: Quantity (million, $2015)",74374.94275
1952,"Labor: Self-employed and unpaid family: Price (index, 2015=1)",0.03664563
1952,"Labor: Self-employed and unpaid family: Quantity (million, $2015)",183511.8085
1952,"Intermediate goods: All intermediate goods: Price (index, 2015=1)",0.163814511
1952,"Intermediate goods: All intermediate goods: Quantity (million, $2015)",112113.8207
1952,"Intermediate goods: Feed and seed: Price (index, 2015=1)",0.224335002
1952,"Intermediate goods: Feed and seed: Quantity (million, $2015)",54172.88706
1952,"Intermediate goods: Energy: Price (index, 2015=1)",0.058849795
1952,"Intermediate goods: Energy: Quantity (million, $2015)",23602.39316
1952,"Intermediate goods: Fertilizer and lime: Price (index, 2015=1)",0.122954078
1952,"Intermediate goods: Fertilizer and lime: Quantity (million, $2015)",9629.611441
1952,"Intermediate goods: Pesticides: Price (index, 2015=1)",0.574687283
1952,"Intermediate goods: Pesticides: Quantity (million, $2015)",330.614589
1952,"Intermediate goods: Purchased services: Price (index, 2015=1)",0.106175649
1952,"Intermediate goods: Purchased services: Quantity (million, $2015)",30258.49974
1952,"Intermediate goods: Other intermediate: Price (index, 2015=1)",0.108277478
1952,"Intermediate goods: Other intermediate: Quantity (million, $2015)",2191.445119
1953,"Total output: Price (index, 2015=1)",0.253841576
1953,"Total output: Quantity (million, $2015)",153540.5609
1953,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.216833387
1953,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",80187.94157
1953,"Livestock and products: Meat animals: Price (index, 2015=1)",0.147131096
1953,"Livestock and products: Meat animals: Quantity (million, $2015)",51922.60935
1953,"Livestock and products: Dairy: Price (index, 2015=1)",0.244116333
1953,"Livestock and products: Dairy: Quantity (million, $2015)",17885.12036
1953,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.464363515
1953,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",8772.883453
1953,"Crops: All crops: Price (index, 2015=1)",0.29112118
1953,"Crops: All crops: Quantity (million, $2015)",71975.58269
1953,"Crops: Food grains: Price (index, 2015=1)",0.419521521
1953,"Crops: Food grains: Quantity (million, $2015)",6530.186126
1953,"Crops: Feed crops: Price (index, 2015=1)",0.287133063
1953,"Crops: Feed crops: Quantity (million, $2015)",28668.57366
1953,"Crops: Oil crops: Price (index, 2015=1)",0.294737815
1953,"Crops: Oil crops: Quantity (million, $2015)",4603.351366
1953,"Crops: Vegetables and melons: Price (index, 2015=1)",0.182186466
1953,"Crops: Vegetables and melons: Quantity (million, $2015)",9122.521773
1953,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.138777851
1953,"Crops: Fruits and tree nuts: Quantity (million, $2015)",8625.295684
1953,"Crops: Other crops 2/: Price (index, 2015=1)",0.35252666
1953,"Crops: Other crops 2/: Quantity (million, $2015)",14459.47056
1953,"Farm-related output 3/: Price (index, 2015=1)",0.113990708
1953,"Farm-related output 3/: Quantity (million, $2015)",5561.317171
1953,"Total farm inputs: Price (index, 2015=1)",0.098827392
1953,"Total farm inputs: Quantity (million, $2015)",394374.2443
