Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;342501;338836;336808;339533;347452;356688;368022;378545;393294;398564;403947;407645;417429;422873;445438;473565;486086;502240;511820;526404;545063;537587;528301;508688;484406;468635;444517;418727;402784;386897;370677;360758;351650;349531;351079;354651;353959;353420;356160;361134;367056;368044;372972;385004;404031
AR;373265;370171;370743;381294;397176;418416;443046;470132;497741;513715;527476;544638;555300;577512;626776;669248;685502;699602;723023;748663;783353;787853;796635;756006;728743;721525;682590;636255;604146;583614;561292;550993;548206;540550;542414;537686;526468;533618;533517;534812;533917;540913;548643;547866;554931
AZ;98549;99988;102784;107419;113157;119764;126547;132029;139111;144300;148666;151704;153067;157537;161460;167227;171866;177499;186675;194859;199008;203145;199164;195014;190219;188351;182704;172769;165388;156068;148744;144616;141635;136357;131650;128893;127367;125760;125645;128339;130907;134655;137108;140960;141193
CA;1179917;1162852;1149719;1151710;1161281;1175374;1199424;1227161;1261108;1277573;1280736;1296332;1296905;1307737;1368163;1415160;1445366;1484465;1518863;1570212;1617403;1614814;1604358;1543501;1493399;1440777;1379613;1310001;1256349;1208623;1165685;1134002;1135587;1120841;1107844;1093106;1087937;1091340;1101774;1128897;1148547;1161976;1168782;1210626;1236858
CO;495945;492493;489524;486589;484281;483907;489874;501328;512140;516461;518977;529027;531148;535827;552421;571850;582143;592317;605772;613438;637289;630060;611067;601334;597812;585445;557238;519873;509520;500000;484153;472407;467466;456794;452951;447203;449193;457384;464477;467303;467010;467078;469529;456424;443529
CT;118921;115894;113361;112190;112007;111759;112699;114569;116282;116214;115386;114993;114148;112629;112781;113166;112535;112199;111532;111936;113025;110389;107298;102682;97757;93951;89418;84878;81414;77794;74573;72073;69507;67086;64341;62010;59834;58543;56542;55940;55020;54156;53393;52827;52964
DE;52374;51668;50946;50697;50618;50421;51720;52166;54081;53899;54411;55117;54682;55963;59200;61940;64037;66429;68093;70725;73848;73003;71907;69099;65648;63357;61255;58613;56493;54600;52899;51705;50852;49425;47392;46200;45479;45105;44450;44676;44546;44915;44694;44255;44893
FL;225574;228067;231053;238218;249016;259702;272239;286015;302399;313246;324924;329710;341677;353834;377694;404483;416763;431331;441901;463524;489330;494551;485780;476192;456363;440415;418472;398739;382306;370187;357235;350081;348541;347522;350564;353405;355302;356749;356654;359460;364668;366230;368571;378704;397278
GA;478258;471213;466710;467057;474761;481162;491468;504753;524482;528616;533308;541347;548008;556564;585457;620424;634450;652011;659349;678233;705906;690896;677636;655755;621066;598061;563049;525786;504458;482081;464335;447437;440357;435561;431467;431810;427899;425434;426193;430330;437571;440410;445426;460022;484751
IA;1967990;1948722;1954645;1975513;2022123;2072004;2147281;2257593;2374519;2446159;2478504;2518494;2565656;2642193;2774755;2848945;2939493;3030486;3121107;3186042;3330621;3282666;3157849;3074962;2902550;2821421;2604664;2403999;2293216;2258000;2174671;2148268;2077220;2030318;1905344;1927036;1842726;1835987;1796085;1791995;1766665;1736950;1727231;1715771;1661870
ID;334556;333373;333779;338821;347957;358459;371061;383730;403345;412341;421745;428646;436124;445277;473551;501360;513067;529752;541598;560333;573445;577366;559962;548978;534196;520219;500736;459473;443473;428735;412230;404461;395817;380747;378460;375420;375551;378585;381846;383747;385848;386372;386274;387164;378456
IL;1721391;1708109;1706935;1723753;1761667;1796431;1884444;1948698;2067216;2102697;2144290;2163576;2223092;2280737;2405658;2467424;2584414;2645890;2723942;2777539;2905657;2887962;2803302;2744700;2536839;2468531;2299958;2142238;2013601;1916023;1875747;1816075;1737837;1706635;1626388;1611017;1501972;1490656;1462878;1453749;1434236;1418425;1408142;1376312;1356233
IN;1070543;1067967;1064161;1077439;1101122;1122028;1158882;1200427;1245663;1270541;1291748;1317252;1337455;1372104;1436378;1477193;1518577;1572000;1602543;1661371;1723174;1668254;1597233;1561698;1469020;1433025;1338895;1256849;1203898;1137447;1111432;1073450;1028908;1015512;972359;963201;911089;891451;867520;880739;862310;854006;844437;826292;822925
KS;1090346;1088468;1083892;1087410;1095368;1103950;1134072;1160634;1198267;1223584;1243644;1255701;1263007;1267817;1335184;1383922;1421644;1463796;1483743;1497046;1555286;1560267;1465969;1477051;1451736;1436402;1361143;1297976;1240544;1206559;1160502;1135931;1091252;1071872;1045372;1033906;994171;1010467;1011293;1002030;998322;989011;999497;976327;983391
KY;513352;512234;513588;523608;538636;551281;572749;601008;637324;654770;671001;684611;703161;718403;753988;795539;814481;849189;886157;919678;962176;920555;908642;881791;835734;824872;789337;741225;708926;692753;687955;678880;676343;682925;677498;678187;676104;684301;686671;690646;687234;698841;706618;718672;724844
LA;287522;287255;288089;294471;307418;319223;331078;350373;372206;386091;391060;402361;406594;419006;436390;469609;475368;483369;487046;499358;515897;525077;530850;506776;490968;480765;453824;420587;398767;380632;368495;359849;351439;343662;335717;328961;319479;315553;312551;309396;306990;304883;305561;301510;299807
MA;122367;118679;115228;113162;111790;110401;109818;109991;109809;108674;106894;105560;103775;102071;101883;101697;101585;102612;103146;104787;107525;105902;103428;99594;95063;92100;88838;85375;83418;80877;78253;76581;75040;73232;70420;68307;66550;65366;63696;63487;62900;62363;62304;62291;63137
MD;266428;261532;256435;253275;250793;249451;251570;253176;259231;259466;259508;261926;260846;261828;272185;283582;289144;297681;303218;314186;323949;319612;316944;305770;291121;284131;274408;261355;254723;246317;237845;231994;223774;219699;210226;204420;197277;195197;188317;186364;183146;181982;180124;178108;179489
ME;137094;133665;130409;128849;129173;133059;134378;136143;136806;137085;136579;135823;135167;138369;147252;149539;152182;154848;156063;158461;160104;157612;153776;145517;137390;131040;124441;117855;112985;107190;102064;98053;93990;90463;86309;82721;80383;77961;74982;74013;72650;71605;70873;70728;71463
MI;1011118;994073;983544;980171;984860;995130;1003042;1021147;1043431;1051054;1050173;1055641;1047628;1057901;1085448;1113379;1124541;1133004;1146515;1170547;1204742;1221243;1207973;1182190;1137115;1103917;1038198;972782;921610;879825;859820;846019;820307;803565;787773;775821;755989;740363;732415;726132;723461;721306;717074;707220;697691
MN;1555581;1543076;1541999;1540743;1567218;1581866;1614210;1668836;1726208;1755938;1766812;1784275;1799894;1813293;1904350;1975335;2023429;2065864;2165336;2153431;2278836;2320573;2372843;2332272;2251327;2208956;2015644;1851681;1784161;1764191;1715112;1727999;1658838;1626498;1558540;1568677;1531496;1508405;1490026;1482301;1471628;1462421;1453106;1427285;1392243
MO;906876;900929;905110;916574;946454;977379;1023751;1070176;1124033;1166105;1175078;1200299;1227242;1255783;1324446;1373752;1398365;1433937;1477905;1524702;1577227;1531275;1516000;1464353;1371627;1308334;1252042;1180260;1116208;1063131;1031065;1000544;979395;961910;937224;924439;898133;899509;888031;895084;886182;885330;893912;901261;896306
MS;405573;402239;401347;406768;417385;431408;445464;464579;481579;494598;493899;507270;511350;521759;552115;575818;586232;598264;610888;621806;650539;650856;657991;637197;611344;596129;561655;521198;497244;476691;458266;444364;438698;433305;423625;418195;406028;405458;403970;402581;399208;400444;405707;403586;403968
MT;438257;431822;422697;428000;435302;440161;451058;463832;481630;490048;492173;491258;493999;491331;512622;534950;554115;570282;575378;576473;595486;590220;581370;575580;561660;538846;498809;477610;470803;443381;442260;436057;440477;426339;428631;425632;432470;435732;437292;440146;441949;439126;438669;438925;430321
NC;609962;609686;612434;626531;645084;667572;690982;722811;756850;772864;785653;799216;805974;816398;853902;884211;896072;917446;936754;967681;995556;982650;945055;904421;857520;823051;775243;715751;670308;646220;628105;607676;598040;592452;578517;574961;572521;573455;571018;574085;568884;568435;569399;573824;570935
ND;820159;811303;786765;806090;812367;828071;851765;871526;900106;919164;935693;935019;954457;943988;973385;1005917;1056404;1096657;1112481;1120089;1176491;1114220;1069548;1062396;1023249;1001619;928429;867676;850344;817083;809882;797575;769753;760048;740101;729222;706214;710528;689821;692834;681019;686186;689546;678714;676890
NE;1012460;1007431;999195;1009380;1019428;1029536;1058936;1110129;1152723;1173444;1201634;1201041;1215234;1233930;1286159;1308753;1350228;1393802;1443417;1394462;1507987;1463649;1351115;1396612;1389114;1385956;1269699;1169180;1152059;1198344;1137351;1159449;1119202;1100990;1060758;1062076;1019635;1051455;1041920;1036050;1028472;1015541;1028382;1005022;999697
NH;60953;58916;57037;55839;54827;54016;53693;53744;53692;52887;51703;50980;50520;50480;50981;51744;51939;52603;53124;53884;54742;54090;53517;51505;49737;48055;45885;43431;41699;40416;38921;37641;36254;34923;33462;32159;30970;30095;29419;29255;28910;28438;28273;28325;28309
NJ;185685;181131;177533;175645;174485;172626;172605;173421;175765;174676;173131;171543;169301;167343;169707;171959;172374;174900;176712;181121;186014;181873;178138;169987;160649;154633;147567;139513;133538;126724;120960;116519;112808;109165;104607;101779;99115;98387;96869;97310;96735;97378;97625;98472;101022
NM;140827;139242;139924;141302;145038;147637;151741;157479;164073;165534;170312;167018;169394;172022;176066;182538;186366;190143;196633;201641;210446;204203;202230;200772;194445;194050;188828;177990;172391;167659;163600;158895;158064;153656;151846;152256;153657;156071;156964;160746;162315;163318;164779;165802;161638
NV;42025;41610;41190;41465;42390;42916;43520;44593;46308;47289;48686;49798;50287;50852;52936;55022;57092;59652;62038;64985;68858;71760;73375;71901;71455;69491;67504;63068;60451;57359;57247;55566;54269;51996;51833;52230;52784;54272;54272;54690;54971;55950;55557;56188;55441
NY;902941;881519;863588;852563;851795;849571;856711;874045;894231;896790;894684;899462;897600;898754;932692;972391;989811;1007949;1018059;1041080;1071694;1059515;1042986;1005824;957355;925968;890543;848188;812356;774780;746541;725337;700435;677351;649648;628976;610933;599768;582921;576469;569351;559647;558497;559857;565241
OH;1275943;1264478;1249406;1247137;1257952;1265471;1289849;1334674;1372341;1393830;1399180;1419392;1438656;1455538;1501274;1570825;1604696;1651813;1681110;1738784;1810635;1740080;1683728;1626508;1536261;1488129;1407660;1331985;1259238;1190541;1150693;1117133;1073937;1051486;1008691;989316;951082;931240;923678;923915;903208;898293;894196;874371;877033
OK;632956;625324;616108;611351;611366;614582;622044;631798;648276;658674;664294;660915;660029;664186;703707;744240;756201;767183;786777;796588;829931;813781;801484;799207;796669;801540;771982;745352;698435;677988;664775;651647;629989;619089;605945;601706;587251;584656;585347;585621;595363;596789;613691;642546;669249
