Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;189473;191344;250455;259545;264596;264587;262766;308949;255429;263994;259027;243469;258636;276179;269756;234669;264946;238516;262070;273814;294543;269715;220851;201593;224514;210319;207296;196645;188069;193429;189466;193592;182274;188557;185148;203387;211789;224012;242578;206786;202954;186521;176095;238376;262546
AR;72435;83523;103479;110646;128490;125884;128566;160887;135987;151190;152402;169871;183610;188160;178888;161554;219472;202750;216102;232992;268726;261093;227099;225022;260749;225736;262681;238950;245215;301293;340073;377868;387266;375793;390813;434470;492766;525624;610949;579454;602460;589683;576624;590506;571094
AZ;41438;46866;40866;46093;48300;49572;56760;58220;53863;62419;67472;68837;79842;80438;84331;83871;101399;89231;96620;112628;131220;131145;114390;103794;120583;109560;120079;113543;100351;103957;99372;99945;96095;99011;112343;121813;127638;143487;167587;149386;151484;150512;185178;168190;150054
CA;439096;445571;418794;451565;479833;502226;513813;566340;525348;550665;583490;624655;710996;725856;767772;807392;941582;811815;871000;1026350;1217628;1190625;999628;940185;1185497;1094165;1127911;1131232;1060080;1129775;1226535;1303389;1434202;1496398;1355817;1597405;1772852;1951696;1734310;1830476;1721803;1788291;2086151;2077119;1785572
CO;46429;47897;47095;47093;53753;59262;71461;81900;72796;78677;87507;91405;99170;110512;117298;110419;143287;109801;136117;132538;177280;153694;139725;133559;165430;152860;193992;159305;140331;141691;145645;146015;147503;166835;184901;206714;192299;239137;286835;260775;306106;226232;259128;270411;270862
CT;30497;28423;23414;24037;24312;25149;27278;29362;15226;16616;13463;12998;13749;15414;21074;19647;15881;16475;18419;17163;24985;19510;11797;13308;12769;12569;14277;14687;11812;13292;16686;16620;15016;16329;17223;20616;18206;19816;22385;17728;16997;16043;16602;21899;20581
DE;48335;46230;49005;56495;59729;68244;73671;60593;36007;34941;37750;37249;36555;48017;52725;54044;47598;49339;49633;54437;71022;69330;46843;43448;53133;44507;44723;40695;34495;41836;36436;46826;43281;39363;39584;40501;36215;41121;39621;46261;40908;41641;47932;41910;41802
FL;336060;351793;354699;342911;380370;401737;425026;426615;456114;532517;508763;464481;497594;511888;601845;486854;481892;454553;502783;582233;740175;652492;556192;584532;523682;481761;520845;547601;500105;559504;548262;576368;550006;622804;584887;678576;611686;673043;678345;622429;589004;552557;450424;555566;590231
GA;183674;211401;198172;212358;226453;241561;268213;297899;286068;300514;282316;280704;306339;354048;375864;315919;410525;389900;392566;420103;509478;466063;348928;337869;379342;354738;359040;309692;271443;304984;326160;348782;334928;397315;355718;432163;459774;515583;590321;413324;369185;371832;384025;414012;443637
IA;215978;242199;239476;295824;354333;399620;541107;648415;541874;583590;663565;693456;726635;754496;799650;808414;1037912;825943;949967;1096121;1273440;1236587;1020142;859830;1158011;1167257;1241587;1030155;926841;984761;1056035;1161061;1188100;1213613;1201226;1354746;1578182;1582019;1864545;1674244;1878458;1752661;1729995;1999138;1899660
ID;47440;57256;52161;55471;73348;72280;82155;84976;72417;92612;96072;102397;108116;140175;137819;132275;173918;121694;143487;157717;168377;168421;158471;163123;178963;174651;186538;170306;160073;154163;157680;150636;157418;162346;190787;290672;302739;332427;373216;342517;235616;220993;298807;227833;286066
IL;262857;297851;305524;370857;457667;533726;674413;583826;616415;600261;560786;628369;578125;525529;732973;1075240;993533;1039432;999719;1180230;1408521;1272332;1306576;1041951;1466571;1564796;1290750;946226;953972;1157537;1123444;1324764;1317169;1103253;1341041;1177571;1578276;1638353;1738431;1750951;1807065;1964931;2048608;1864857;1538432
IN;273131;271785;250987;294006;335419;360398;453403;424716;353796;371167;382442;421353;420891;485251;610123;490348;597816;595864;654616;729846;905745;801491;694052;662391;734615;731212;787053;698679;613430;602563;679035;722105;746707;745842;754073;839861;887815;927982;1082776;1010837;1073036;1066695;1024931;1180397;1165901
KS;142545;163584;164720;189042;204914;228016;300125;309792;279182;326464;389255;371580;419397;508848;491124;479449;619669;512730;533263;587268;636647;556379;463961;470357;496621;516009;557127;498746;467017;472029;589888;502787;687002;691933;678291;708548;838627;906216;1008100;1135663;1120619;1062759;1076582;1393265;1245986
KY;182811;186000;201496;221883;240664;238985;265953;251416;186109;200095;199544;209055;215215;233466;277445;268041;297321;289991;302673;308581;344182;322494;256585;226389;235382;229042;255147;254272;236074;237525;247723;251866;252308;268513;242777;278736;287331;290997;372639;378205;397486;320632;362778;411841;404672
LA;81609;86849;90862;102853;113630;117632;122568;139516;126535;143925;156599;169930;184243;181860;195138;159187;220731;186378;220118;239441;304685;270415;236078;221752;273793;255319;281713;247444;247300;271988;300647;334015;341931;316483;313298;331357;378494;402502;502939;456596;454375;428967;400125;414847;418361
MA;35246;33260;27142;26865;27250;28610;30072;28294;17398;18032;16134;14814;15116;16927;24766;22440;15779;15082;19900;18825;20832;19745;13529;12529;13641;15750;18230;19254;15339;16911;16589;17093;15331;15308;15970;18966;16626;19151;19091;13606;17310;18214;18114;16174;15989
MD;89047;88395;87801;99035;98988;106539;111110;104665;73918;70185;77368;93693;79706;107702;118973;117017;106078;109364;100370;121594;147188;153082;108906;106612;105668;98156;97411;92023;74166;86337;88565;100616;95379;87928;95603;109868;101107;110883;116183;111111;93667;94287;100391;85178;83920
ME;94964;96883;79466;71374;69466;77647;83510;69296;52370;51178;47325;44722;43663;49406;118652;75295;77389;48931;46345;48633;49633;46490;27367;28320;30962;29529;31075;34664;31124;33764;33658;36526;34452;31259;33622;34874;31914;33429;35209;35357;32893;30447;31108;31510;32987
MI;273713;295755;211539;229485;249828;239123;261795;264881;210433;225946;248981;280610;269489;290799;337670;292790;365816;340073;389388;420057;478340;484358;438596;411337;522037;457720;528526;471587;401519;422779;454387;440005;436761;465815;480385;507638;498876;554705;598113;570467;624231;638454;620197;710657;716921
MN;222853;243575;230618;254557;319516;339353;370058;422550;350679;434010;412873;541654;546303;655784;670290;678589;848356;685940;746623;907448;966341;987577;807242;674752;828208;888109;915789;839591;772618;802706;854146;905507;858550;902720;956940;953283;914123;1142804;1174718;1042931;1221418;1151580;1145747;1344568;1319724
MO;196442;203718;193629;237259;272971;291355;345052;370830;349931;363695;396221;387543;414349;389370;429560;389883;559158;472394;474040;584773;705027;605149;480082;482042;517426;482336;559692;530568;512432;498288;559933;579386;583357;597960;606152;641892;717025;740830;845488;803361;859262;823398;799531;861608;851178
MS;171811;175396;205842;224546;243975;208937;213594;288081;247635;272543;281061;339849;353001;385891;316445;300341;380268;332497;366326;416941;413987;422916;382924;349438;433837;330919;331054;288760;278567;334537;364576;408066;391208;393021;339033;356616;420765;446406;396623;467906;452898;437181;435092;476996;442068
MT;33114;40610;41800;50160;56510;53975;65465;92086;83329;88645;99649;113089;117889;148692;102124;124946;153668;177771;177099;203654;164695;170787;172054;156856;193213;179469;158087;157577;138408;153022;140118;145586;139071;140378;179273;175930;229219;268478;256411;306240;279797;255377;274846;236558;197109
NC;256101;269348;257891;272435;287499;295909;311922;331655;366036;374020;381335;367790;359664;409565;527980;418417;465375;430704;442756;488499;531469;522260;388993;374062;411782;374861;375339;365152;321993;338454;356262;365518;380534;417363;367475;427456;444844;468115;561522;556040;453158;447847;544791;489472;477109
ND;82429;90743;107777;105933;120117;125347;162157;230354;170033;169522;188119;189024;196870;289942;293839;297441;402777;350039;416098;475152;514117;497066;410197;394883;432342;472453;578258;531291;473285;473256;455091;485425;472991;511027;536707;586075;627247;690800;751591;675833;813050;864451;872190;871375;989574
NE;145293;204370;152640;175743;176766;204617;277137;287384;280941;286462;337210;359324;375209;409381;457125;376049;509631;459889;511442;591507;734943;688303;551104;513509;602376;636809;749089;588723;544146;517182;575691;590901;632445;609551;644773;744845;914912;977293;1180789;958664;1021078;1029196;1060091;1105646;1147133
NH;9744;9557;7595;7082;6825;8383;9177;10604;5363;6075;5540;5438;5191;5340;9094;5803;6489;5741;7079;6442;7866;6305;4049;4424;4374;4343;5054;5077;3993;4054;4002;4209;3863;3843;3248;4225;4010;4455;3795;3775;3838;4216;4094;3519;4182
NJ;67511;64362;69232;68326;71248;66483;68442;77521;58615;54189;53878;55888;46665;55610;49395;59552;53652;50743;53472;54340;67975;56235;46091;44467;48126;47939;50954;53402;42563;46455;46997;54891;47678;47757;51649;58056;48863;51974;51016;53766;48002;51358;55507;49253;48397
