Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;0.2559;0.2641;0.2205;0.2232;0.2243;0.2344;0.2415;0.2347;0.2793;0.2637;0.2715;0.3069;0.3171;0.3462;0.5088;0.6051;0.5408;0.6282;0.6361;0.6532;0.6773;0.7774;0.8396;0.7899;0.8641;0.8298;0.7483;0.7664;0.8546;0.8949;0.9384;0.9979;0.9744;0.9783;1.015;0.9628;1;0.9622;0.8991;0.9136;0.8808;0.9664;0.9506;0.853;0.8801
AR;0.433;0.4359;0.4137;0.4327;0.426;0.456;0.435;0.4159;0.5056;0.4724;0.4673;0.4684;0.4995;0.5337;0.8303;0.9486;0.7799;0.8758;0.8837;0.9117;0.9326;1.0526;1.1056;1.0534;1.0635;1.0629;0.8963;0.9769;1.0556;1.097;1.0418;1.0877;1.0564;1.0882;1.1172;1.0133;1.051;1.0092;0.8614;0.8771;0.8342;0.9084;0.8996;0.8129;0.9105
AZ;0.4403;0.4456;0.5257;0.4971;0.4939;0.4909;0.4676;0.5579;0.6418;0.5904;0.5677;0.6066;0.597;0.6589;0.8699;1.0098;0.8054;0.9016;0.8976;0.8986;0.9398;0.9884;1.0517;0.9925;1.0135;0.9824;0.8595;0.9213;1.0591;1.1109;1.0966;1.1126;1.1182;1.1327;1.1883;1.1191;1.1613;1.0939;0.9526;1.0179;1.0091;1.0313;0.8994;0.9403;1.0471
CA;0.317;0.3252;0.3538;0.3327;0.329;0.3433;0.3417;0.3926;0.4523;0.4443;0.4398;0.4562;0.4525;0.4926;0.6642;0.7416;0.5988;0.6625;0.6949;0.7013;0.7427;0.8098;0.8994;0.8677;0.8673;0.8485;0.7818;0.8049;0.932;0.9702;0.9169;0.9638;0.9042;0.9036;1.0701;1.0411;1.0111;1.0247;1.0475;0.9585;1.0155;1.0392;0.8172;0.857;0.9969
CO;0.2852;0.3004;0.339;0.3267;0.3181;0.3213;0.3057;0.3269;0.399;0.3552;0.3461;0.3676;0.3731;0.4042;0.6167;0.7635;0.5789;0.6567;0.6594;0.6405;0.6838;0.724;0.7916;0.7274;0.7813;0.7351;0.6259;0.6983;0.8166;0.8853;0.8273;0.8456;0.8386;0.8366;0.9411;0.8835;0.9685;0.8768;0.7338;0.7832;0.6486;0.7832;0.7566;0.6474;0.6489
CT;0.1852;0.1868;0.2329;0.2238;0.2229;0.2251;0.2251;0.2264;0.3788;0.3523;0.3773;0.4239;0.4362;0.4771;0.4772;0.5598;0.7004;0.6188;0.6195;0.7044;0.584;0.7335;0.9974;0.8533;1.0567;0.9706;0.8539;0.8355;1.0181;1.0855;0.934;1.0665;1.1088;0.9943;1.0645;1.001;1.0725;0.9916;0.8235;1.0391;1.1306;1.2897;1.1929;0.8779;1.0075
DE;0.1194;0.1245;0.1293;0.127;0.1228;0.1213;0.1252;0.1545;0.2568;0.2466;0.2522;0.2827;0.2912;0.3065;0.4059;0.4321;0.4436;0.4468;0.4502;0.4882;0.514;0.5881;0.6865;0.6406;0.6904;0.6692;0.5951;0.6517;0.7579;0.7935;0.9102;0.8338;0.8593;0.8452;0.941;1.021;1.0398;0.9812;0.9691;0.7838;0.9316;0.9673;0.8065;0.8908;0.9614
FL;0.2635;0.2704;0.2796;0.2841;0.2789;0.283;0.2807;0.2981;0.2965;0.2822;0.2987;0.328;0.3352;0.3652;0.4154;0.5454;0.5477;0.5597;0.5672;0.6001;0.541;0.6455;0.7095;0.6588;0.8087;0.7794;0.723;0.7807;0.8792;0.9115;0.9696;1.0475;1.0504;1.0273;1.0527;0.9756;1.1403;1.1078;1.0174;0.999;0.9878;1.0409;1.1334;1.08;1.0674
GA;0.3759;0.3646;0.3975;0.3962;0.3948;0.3846;0.3788;0.41;0.4334;0.4008;0.4196;0.4652;0.4714;0.5023;0.7093;0.9068;0.7126;0.7607;0.7734;0.7992;0.7592;0.8458;0.9458;0.9055;0.9438;0.9105;0.7911;0.8444;1.0024;1.0168;0.9734;1.0095;1.0032;0.9921;1.106;1.0109;1.0204;0.9705;0.8136;0.957;0.9893;0.9649;0.8661;0.9178;0.9918
IA;0.2743;0.2753;0.3135;0.3117;0.3072;0.3191;0.3036;0.334;0.4166;0.3587;0.3622;0.392;0.4061;0.4535;0.7108;0.8366;0.6784;0.7313;0.7233;0.7593;0.7771;0.8371;0.8919;0.8247;0.8363;0.7569;0.6237;0.7195;0.878;0.9581;0.9368;0.9507;0.9206;0.9064;0.9923;0.9375;0.9433;0.8866;0.795;0.8122;0.7469;0.774;0.7157;0.6553;0.7422
