Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;0.387617621504825;0.402677546546277;0.432663352333795;0.418586810898831;0.432489783683892;0.423119775930081;0.504986917001574;0.588140954008665;0.549227766777664;0.521938693313424;0.572014275355157;0.537918548112617;0.577627136649751;0.787527936059707;0.8753042753443;0.749688072196053;0.932248879791164;0.851170312754913;0.913133190328382;0.905667222572006;1.00585807874163;0.9237942737237;0.885994569378709;1.03947137464211;1.02104820140439;0.906249408868164;0.969141369238186;0.987590678147532;1.03726699185295;1.02836065854758;1.00701204181011;0.982804599393203;0.954905020089548;1.02401725949613;1.0139279585459;1.01782603477808;1,0000;1.00125972406075;0.995178711138144;0.926748975117221;0.945317492581054;0.873875804563154;0.918042657171125;0.932185258015173;0.974236663827284
AR;0.419317163774314;0.476936961129106;0.444363746898514;0.461966507008089;0.482431270283162;0.423419529174861;0.557470118057532;0.569358710131813;0.47656039809172;0.470621743610339;0.544612403195849;0.523560988725199;0.581780306041657;0.876208499625122;1.11451963102806;0.709214810591447;0.799482392920292;0.818790253259425;0.930788060677069;0.923677398843754;1.01951387428038;0.978254276484236;0.904496970873925;1.07622861520833;1.02580418793481;0.96987210191573;0.796495984734641;0.895792753852011;1.01103147655966;0.910751487824586;0.944069655863815;0.916512101815031;0.908937822885077;0.889777910531514;0.911809992164532;1.03152420917932;1.07606515417095;1.01684705005571;0.928457891286608;0.838869861746303;0.830510197482751;0.790051213522289;0.809439757909981;0.951817884686002;0.943420874186685
AZ;0.387432870203788;0.394998498671232;0.415021340373416;0.419390523202011;0.408475948184093;0.403988537588952;0.42655311551698;0.49052578187859;0.457805815959692;0.447581503198396;0.454347691306159;0.526410721362076;0.531354567071524;0.646650673890853;0.744995953315483;0.695468380955361;0.782241131591336;0.7529936806848;0.814715765205262;0.872611120060318;0.927997383128369;0.930423305048997;0.884496309501487;0.942143296401282;1.00262058028739;0.974096155514342;0.970438589212728;0.986536037019226;1.32434319021924;1.10456071021576;1.22850793850919;1.10603888995644;0.963410382768791;1.15887202604025;1.03749727610317;1.35322109162372;1.15707817724462;1.1376251600033;1.15616815527174;1.01182069902416;1.02515176579738;1.14684503846573;1.64254244614036;1.05584626136197;1.28530667412276
CA;0.324752727902976;0.330965297841296;0.334430411934997;0.341225931197098;0.353087779836765;0.355156853088594;0.357388411291853;0.390335531057868;0.384204041368422;0.373973563024359;0.392391046622094;0.416830254160192;0.464411395058851;0.576164576164277;0.664304566665298;0.61521429719802;0.635604536857105;0.66390097055405;0.742667345002047;0.787676842005038;0.846361526614621;0.848449358200643;0.814549581297671;0.832246668641774;0.818599036413306;0.824113950435024;0.894226939781362;0.853387707494006;1.04446143529669;0.945468725576879;0.962909185087138;0.98111836360658;0.94855053788933;1.03135496509579;1.01338663466414;1.16781217443756;1.12813173338871;1.13147481216601;1.11525581664003;1.07686540451902;1.05927281246104;1.09732848808112;1.10653313091069;1.1844176335823;1.25030478226728
CO;0.369320006186872;0.369426338702251;0.399422256867354;0.440296631911753;0.457073254255352;0.462105941210582;0.446857628699881;0.445291756236453;0.4343485087671;0.418568943092714;0.432387713766589;0.436920302418597;0.55807967637128;0.758992783525088;0.966715602445406;0.845167353333159;0.742182421366804;0.723303667880475;0.75310884056927;0.821686959217959;0.930123716457645;0.982538129351687;0.894140627118448;0.976905311909091;0.982987746873249;0.886517601937687;0.894399054524305;0.853268505090495;0.955498977968917;1.11160933430579;1.02260238769146;0.908194106917591;0.926968380893638;0.982901032955752;1.02021336299452;1.07841699828075;1.10965680983231;0.997739299516566;0.964265470919005;0.855786177180816;0.859852246865184;0.949463055428822;1.07106368587097;1.03166535841894;0.990025549646175
CT;0.365515129721415;0.369599944108551;0.37545818558902;0.404507933613192;0.42761205906524;0.441349698303625;0.463029099358082;0.472896898422019;0.492069312295934;0.491889657618707;0.537014282312573;0.536142025269227;0.572590901776234;0.640641979755732;0.738833828818259;0.748578850171951;0.786583562984656;0.789130547399973;0.767194653595387;0.842464071708869;0.895225771278413;1.00627281443154;0.976929408328705;0.998035111556698;1.01391896709678;1.01709409355834;1.05177081360378;1.07199730450308;1.17222009738585;1.23073645005193;1.25584028549229;1.29379301656298;1.21967193028853;1.2217652615049;1.26822895215421;1.17745414165946;1.23672092995378;1.29197183032486;1.31619515543882;1.31688431955604;1.29567166066529;1.34672081926299;1.37707501057666;1.40563615473402;1.42606627356334
DE;0.377674851083034;0.401372627881216;0.422135537659469;0.441524208902054;0.451870615993533;0.444903032461012;0.492642202459916;0.440267894268486;0.434913199103609;0.44133493009831;0.488410601067853;0.47656277723047;0.523695789648749;0.778874809040748;0.999365688867563;0.831852397765178;0.860992840691177;0.811220236749362;0.844517395262823;0.93519003043497;0.923063410311125;0.987003152278763;0.842408603655875;1.11147128395797;1.04986712134089;0.850001749873799;0.841815367836443;0.874959701106473;1.05145325592201;1.02906276761874;0.970123527780768;0.935577129359129;0.921677691155679;0.97861508318448;0.934719683817724;1.05914917366713;1.14323803244716;1.05041055248677;0.95798858168206;0.930062786114621;0.922532691874288;0.964025759269512;1.06074649760227;1.04399236451931;1.04131975545244
FL;0.354571784942975;0.370964676157306;0.340160899708265;0.415518272877322;0.47948008736894;0.393250166374126;0.365034652172386;0.339623110070784;0.443524924451123;0.414493744897954;0.39869415831594;0.448540901022389;0.488453498094738;0.513030937810571;0.565441518149911;0.598912280640453;0.577093242626445;0.64469854045923;0.770508591171199;0.851364453728395;0.810412734403788;0.890383859170554;0.934742540444584;0.964361041333218;1.02770184334913;1.06316158425222;0.981666146360517;1.09467650109101;1.1079784928063;1.21547462021194;1.12044400393197;1.20827995916511;1.16428072381153;1.09851108874802;1.038869860933;1.05045459547239;1.10893457686338;1.08313802720223;1.14885413711545;1.10436271596417;1.07480265205021;1.04683738669194;1.09321491276441;1.13400879937424;1.13250024259256
GA;0.379293025637934;0.40983854493476;0.42836715854537;0.419453571801759;0.437300645618879;0.424388143352412;0.505530064418054;0.488600419622248;0.498142332565294;0.527054136341783;0.56575065883816;0.521518413558765;0.591199361668663;0.707614350420968;0.817679281089458;0.767646779381455;0.827689999876093;0.819847324271825;0.868030106387532;0.888756943376682;0.993743655790915;0.994715210831818;0.928583808865822;1.06516698992316;1.06545478822367;0.960838978813666;1.04184722976843;1.03377380171045;1.08429260848069;1.05066523383664;1.14750782423956;1.06068494875351;1.07377087076579;1.06559206532972;1.07315559444641;1.1375402036831;1.13234065892735;1.08909157381377;1.1089829430653;1.01298063727641;1.05285932535645;0.960199046822431;0.931132942630084;0.996954927353282;1.0535062135343
IA;0.320462571833841;0.3625494468422;0.387414009379693;0.38733309101679;0.409327175561855;0.428932654566129;0.442753392049459;0.402566563373531;0.399190844563139;0.415417814849176;0.468356975964676;0.435156789442432;0.464107866283088;0.756437362805536;0.974905379350705;0.851401883760548;0.821056079939825;0.787367148048237;0.761644921858666;0.820331023975145;0.918123456468672;0.966079321328614;0.845022601092015;1.0631022268003;1.05862482849582;0.877195557448456;0.848628382512219;0.833908113408634;1.04744247296831;0.985455346522104;0.916149197491549;0.879823044948621;0.877888104874036;0.925592221239997;0.86526246888123;1.01095256023798;1.11184624593687;0.973129839461842;0.881230291280171;0.757414213479487;0.783351597503517;0.770068955611656;0.774287230865536;0.817940922092497;0.982175337078815
