Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;88138.1456702445;90052.4359454083;92141.5253627636;95167.9767589761;98591.3907121354;101112.380734543;102303.523074886;105761.151278985;108373.848568668;111928.16713328;110879.552713675;108448.726582095;105758.302418281;107178.583734961;110544.200672282;105443.518545507;118058.087982094;116905.776716264;125740.437595294;115745.334965425;107750.515105984;99084.7559058376;91221.3044541598;90976.5168744256;95910.3611927461;87351.0082241404;92289.2257554916;90246.071505961;94070.4574672582;93120.9726891974;92738.6185767685;96395.4492716651;87728.3975691839;94364.7047153963;90939.9062595828;111486.976943333;98092;103871.551363781;112761.436379188;111464.972943567;116488.466389457;107974.437744319;123893.913097827;111039.795322038;124973.036858596
AR;169351.864542543;172050.54443621;175629.326160882;183413.817272819;187374.85896913;187752.629037641;191086.74411393;189769.006044214;194644.143648582;196040.869297531;208014.250177769;201453.113566753;199344.643995261;197362.170766536;187227.161082051;199559.989513199;224521.652481437;218472.704689996;232665.418325906;218433.955865695;206376.144971221;191406.64386565;180428.069101544;177198.817051637;185680.102445249;169724.77761974;184300.359943651;198150.814731873;202128.749717161;201135.88250602;196865.853647371;200114.373527349;191842.725481723;203379.073636739;192227.65697914;235226.456499968;235252.217198189;271041.063923929;263974.911002286;268162.231996023;235332.846600648;221556.522823573;277918.928362225;209856.22905343;222433.577600087
AZ;66842.1976783516;70309.2287955582;74166.5576255119;77178.6488878548;81053.5976556428;79014.0872607789;75631.2706562692;71313.0413333409;72340.5703512314;68049.5557856872;69137.0851237219;70951.7434320992;71717.1813476917;73777.6953797462;67261.0834994508;86267.9484722991;113233.98497241;121970.406892349;137637.065877112;118949.442617976;104219.744401928;90449.4332539938;83904.252229344;81325.7240945104;79672.0969144399;67009.012752225;66968.809768117;73084.2465188864;67507.3713790308;67107.8705691249;65562.4610696805;62045.4688587854;56605.0475655961;54501.9618524552;65898.8160645709;72333.1714976853;81342.881202416;70202.0409135607;75284.9340685348;79152.3722737388;85754.9453421261;84675.3267722652;96323.7705213561;84193.6438873537;85178.4795461977
CA;499232.930583615;546707.878853114;541351.128453219;542413.618231053;541685.582894164;533535.296926456;531190.93762015;496847.402432802;481184.250539527;518361.952207416;516794.283799968;531222.684060151;557877.764917944;591137.980888828;526918.040908592;622532.430626954;773790.386678028;775593.852421155;810841.688750431;751263.110996403;658649.786950434;637794.425929084;550856.955510724;558834.17883162;573001.304891674;504838.789733067;514853.089154358;531370.668733936;578320.472372955;620936.171340488;663309.455589884;679552.404554927;664110.487558998;602113.561453301;632744.333860168;686547.547928059;800835.357232365;715256.578225906;718276.309517827;785593.269076124;782666.037753596;815765.017814775;807107.235938517;626172.770197423;631300.384509278
CO;111038.835353213;111579.845846959;111957.7380886;116053.816746375;119486.902898829;123418.14142092;120108.362216528;120844.437198942;120841.549649152;123881.853709185;123986.647528345;120959.720818671;121818.638320152;123754.309985164;123793.756884682;154706.64491113;181518.342722654;190853.92141538;200381.003748935;189359.2603224;170521.782141744;162868.772952905;146203.75430141;144326.876669868;146894.786066677;132574.349660914;140172.394076642;155734.915120799;154838.359469787;155220.935459459;151207.94868713;155312.853607261;152082.719185966;145803.397158429;173220.733292307;182394.627094161;201151.528248139;179600.276937263;180288.311205123;173126.831652912;193986.057546572;171229.716945321;202160.079123684;167450.082437319;161779.675620295
CT;15786.249931469;16012.694881785;16462.3381929118;17730.2736126035;18532.6151598644;17903.3321865238;17119.574558626;16236.9168212693;15647.4447174377;15094.1778853346;14697.2328725445;14264.4695417305;14051.2472135121;15018.4990941964;14910.3379136353;15784.9181705002;17744.4678439289;18589.2947215471;18583.1602224931;17610.0304929943;16448.899347438;15449.2941436618;13817.9107725853;13614.3245726111;13854.4568009531;12415.0956912409;12239.3951792879;13651.7316010797;13440.312572096;13009.3398095844;12787.3361216075;12341.5299477413;11805.9021651601;12548.3302083007;12819.8117093629;14103.4942961403;13798.9533401162;15989.0876768553;14682.0187294684;15048.2374311144;15936.1450486774;15437.9508798841;20064.5601110866;13509.6281998431;14551.3405357571
DE;9664.93331512953;10206.4382235444;10329.5250152891;10998.5886137357;12221.1905420576;12512.3535782943;12429.3324348892;12295.9318043638;12618.2983693052;12995.0730489221;13338.6584919279;12656.9724983204;12475.2426315086;13002.6152363108;12558.5831749949;12191.0030677474;13666.000755966;14366.173711466;15031.6353418312;14470.9049724165;13595.1459912873;13349.8849693245;13212.1128045827;12733.8252164945;12631.8288831165;11416.715534257;11476.2618177047;12906.5605014691;12917.6647425058;13541.4428494904;13541.2291015273;13625.0663115675;13392.27153526;14834.7702525096;15768.0611763807;17073.1967677485;16684.5570704712;20235.3586399365;19001.1486467436;19781.8386707931;22281.4641271834;21792.8911382309;28220.9523232677;19713.9210734488;22135.0249608561
FL;82642.209443938;86178.3128016819;94255.7383773188;98730.3611291741;101950.198114685;105162.056598958;108174.966032163;109855.048695966;112192.244613121;121991.541159032;119084.116981873;116846.595025605;113199.89077218;114537.189572264;119944.169962522;125411.874186923;148865.423225372;159926.399769678;164833.935730957;151513.81439713;143932.124487544;132112.091913023;131378.902958921;131634.34876904;140101.455097848;129518.260659678;139309.856921557;153690.230124207;151046.778242024;153629.33780395;155010.530281152;149934.021553389;138949.089946921;145991.951923492;138248.343113527;158847.466258868;134038.199752805;160964.033433415;170248.888889387;167745.402018506;172511.539648299;153206.430510423;183644.260359997;154262.900338162;141307.758741091
GA;138570.582902832;142745.477309709;143738.101700882;148964.395807433;153898.730947826;157372.478928896;164483.901922515;166392.159130692;168038.012232112;172435.818746041;172198.161292182;162478.800474871;159955.512484248;161978.391775055;164573.966458747;164630.321685579;189431.494733991;194526.017663575;201880.318328186;187503.903960957;178579.618056672;169225.634210456;159025.901522257;154877.593036678;155540.748748011;137554.767889466;143162.141797339;143678.905186322;146406.373862802;145177.677379307;147162.121946432;151636.25440081;144991.744472776;156833.410197622;149999.696841702;185240.872200717;162260.513755494;174453.17232804;195229.215182979;199224.601188644;188481.536805379;175066.457980641;205891.852411449;163353.062885569;166694.591163011
IA;333026.410782342;343568.542737725;344883.318091444;344786.007147474;358643.241736255;371696.314045555;371340.108731318;373892.780552582;387557.024602394;405479.282027733;394764.851038518;395979.667183484;389648.385658788;392526.202432044;411145.711422729;497037.754503189;560970.769390018;564043.01724477;597835.168664007;588832.26856673;579661.556299183;569105.656231873;554131.635171079;533345.35473812;526407.340939134;457679.703334201;458904.40331483;473229.749639992;473287.67309858;463449.764604003;445595.02486547;454143.705827498;472554.215441298;485611.439176587;468921.076215032;455983.758688577;408786.861382675;422943.00071212;430270.394608452;452907.10727897;436437.937221273;396199.983691193;414445.530577955;355427.307802385;409077.809050637
