Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;0.256290846922436;0.259570990552331;0.26174951961178;0.260612874673315;0.259282274196113;0.259008835611889;0.264321297910786;0.268491782252775;0.268616464068402;0.272701686999433;0.279699901749108;0.290911668530452;0.294322046480007;0.31935484503734;0.439299390693195;0.496388974135106;0.531789063105292;0.587165167779519;0.595981701934247;0.752574607227325;1.05990212564337;1.23490237101943;1.22467005562433;1.15761741181372;1.12423724255722;1.10383385332641;0.893159513748495;0.910000830280746;0.880191318606259;0.917086640461037;1.06647049004864;1.00966384549658;0.993748916150539;0.974993778420511;0.928657214127058;0.89040893135399;1,0000;1.04423202095181;0.953473132769032;0.945095102237492;1.09322411005254;1.1063359300177;1.04666966082189;1.25010136768913;1.33280749341528
AR;0.233620102777558;0.241318620269718;0.246063689616464;0.245755748777384;0.249841415532233;0.252715502537584;0.2531101789623;0.260132047002967;0.261369281635567;0.269622350632301;0.258631319508271;0.269933777826577;0.270446192681664;0.300290576303536;0.448524666585091;0.486324940368776;0.51849342240889;0.590824378647931;0.605861416854593;0.762743133684034;1.07668451715185;1.26977306059759;1.2632070006343;1.23121589427103;1.22085240698767;1.2121624366534;0.969477216727242;0.914687129827108;0.910315827201588;0.953454936089092;1.12392777061445;1.09494383705554;1.05591702521605;1.02544473367257;0.986174429731366;0.945522894445464;1.0674755927526;1.04608872137388;0.92697824604203;0.900466102935707;1.14595987723567;1.19367282276133;1.03560056774859;1.26397487077911;1.27910544383515
AZ;0.250201228877555;0.251659708165052;0.253402619748058;0.250691094995895;0.256188504897961;0.255688582889299;0.264030999700581;0.277859415746667;0.274451803512246;0.275240591709189;0.275149002390801;0.285250214032707;0.292984186008815;0.322319637088152;0.412348397572668;0.463590484162746;0.508584061702254;0.614968842944026;0.670277293489888;0.833488563022634;1.12023878651769;1.31508839492643;1.29965999460827;1.24350568194727;1.26970424926353;1.31755410763112;1.12668868180964;1.04930957973525;1.11444125971951;1.1253076481128;1.20573570165378;1.19217408395047;1.19507010256652;1.21498378680871;1.1957270965656;1.14835279969244;1.20280961964615;1.22389604179447;1.12804774355902;1.10873493085585;1.29919037969779;1.30954321910358;1.22892822155207;1.39567542838765;1.455919390211
CA;0.265397156083254;0.26884741501867;0.283913696530295;0.294159281104247;0.304213376179511;0.305346245953164;0.306951772804143;0.303545916234105;0.308274844477303;0.293773490418268;0.311522408522449;0.327026697490066;0.335672098398731;0.350638948436949;0.462375513998134;0.527276947916467;0.548846312013841;0.632066639607404;0.659714476230692;0.794021417088927;1.10800460951932;1.21098424288499;1.3334786692835;1.25433451737963;1.2630006141728;1.29743596039109;1.12743035290592;1.15794498304928;1.17199551525283;1.2320992644838;1.31866957817168;1.34090762374213;1.35309713795202;1.42931343038143;1.38995792286994;1.38451007926344;1.44741861049433;1.47513078819494;1.31315482287473;1.38329214719213;1.4952776069842;1.71925366909819;1.63957271236855;1.77299309845423;1.86571722257947
CO;0.262502753268985;0.263918629538084;0.266136137695281;0.264532445900441;0.264238165305308;0.259232553915099;0.265884901023198;0.267078905310857;0.268045221979055;0.273123132944299;0.27665075783389;0.285665341868632;0.284094457771286;0.304514646839514;0.419488036447384;0.448726685527168;0.489542812407519;0.543038357458909;0.602716813173173;0.733547436568479;1.04243573910247;1.17260047176277;1.22533105155886;1.18022369727871;1.18420813058021;1.17567237100279;0.961023751412457;0.873188904970472;0.902625166519355;0.934809467360143;1.08362689542885;1.0409827406097;1.02195700360901;1.03054526114184;1.01549622066986;1.00319292796678;1.06260689074321;1.06494267860629;0.984262367392777;1.0230765405278;1.1236168349247;1.22524876956373;1.06961770561885;1.28230453442969;1.40138740624078
CT;0.301211498654989;0.305070447920471;0.309555054712348;0.306819856188401;0.300335379113367;0.300055874740659;0.306023960003155;0.318841320491245;0.324653647399617;0.330326039475416;0.337818693019076;0.356199716024183;0.366586675312824;0.388986939597549;0.539759732248604;0.582644768928098;0.621771252710452;0.662209093157865;0.688203720297272;0.855932646226616;1.18439535609624;1.3744964528824;1.46353528639962;1.40095088069007;1.3918264914344;1.39032355684363;1.22154728897885;1.13179781521474;1.15324698862884;1.22219883812136;1.36330192889373;1.36279700095677;1.36304703993638;1.34679273811433;1.35017583662001;1.34165332382758;1.43112303616455;1.42384609179137;1.3038397752196;1.2774918051367;1.46221058661448;1.46832958443576;1.36519314893251;1.66140767665691;1.77530035370421
DE;0.265288948862824;0.266988340135534;0.276682615683662;0.277308308103366;0.268304465814173;0.266376743523449;0.273063739969898;0.284403008705606;0.288469957950473;0.290494711787183;0.295906818694593;0.311843926383166;0.316466790796404;0.342469566242693;0.503639615382214;0.588876892254487;0.639543356982801;0.678120715763353;0.705112900823524;0.868155794260743;1.22698204275926;1.38338270647544;1.34770269247352;1.31468743408814;1.34936913393294;1.32997970865078;1.13739126967832;1.02428528487472;1.0457772569022;1.04649114259883;1.17714572883211;1.15390264094731;1.13983650643652;1.09438836757539;1.0676011344512;1.09581118606573;1.19457771134209;1.18801946769328;1.0832503014773;1.08382240684508;1.24704551915424;1.30790356447923;1.15942224859021;1.49498417337653;1.58070750143156
FL;0.284188916995645;0.289365145235395;0.2817547287539;0.284856650764235;0.287061727600355;0.282658983300015;0.283688556841107;0.290218796299807;0.295492795552135;0.285544388316149;0.300031615512912;0.313744700835884;0.321475575212687;0.351353129496945;0.47892281899111;0.546495301536179;0.5830702531144;0.632647268654284;0.687728528092836;0.86440962839677;1.17960462686489;1.39070540281021;1.30380902977672;1.26938752356482;1.25602549864382;1.25413975737994;1.03390386856188;0.975091259079299;1.00108722450016;1.01832763348654;1.14452869542613;1.1610106778735;1.12246866862949;1.11061601590868;1.05457321741844;1.07420662109852;1.19626345546054;1.15087200568089;1.0395486346756;1.03390613342038;1.22347177719413;1.29076174767055;1.18439312817957;1.37632573700209;1.5196759322569
GA;0.246589133741038;0.250908124551585;0.253314880112797;0.252469724702655;0.251938399759415;0.250609256894398;0.249951512090026;0.255751233846154;0.255632635910169;0.260868074435567;0.263591664738994;0.282196815005975;0.286273347437835;0.307973177491953;0.429594069592543;0.493293089441335;0.521059078051442;0.567394538405066;0.606012517778555;0.760010842385837;1.04757195717953;1.19068249287465;1.17158901925121;1.12987938777276;1.13952132432606;1.15259545294279;0.944481538921158;0.939205374825243;0.94071724041922;0.988567957489972;1.1268320802031;1.08219502419418;1.02187197304753;1.01080503063883;0.977141974857986;0.943161182110457;1.0594937487937;1.08948434392816;0.971519553680697;0.922084917745949;1.16563141262402;1.16696826083379;1.07144599174889;1.27441136592481;1.34447073799075
IA;0.269005691739419;0.262617174672123;0.262915007028429;0.263734600926267;0.255222988608032;0.253763614100407;0.260486270471763;0.271080387939574;0.271562617418624;0.27749136635865;0.278451842181042;0.28664603111403;0.28819572756638;0.316595425299065;0.443297825895611;0.471658335561099;0.515470708597576;0.572192173526978;0.600039975569937;0.753318090191811;1.01874618660274;1.16701177141245;1.1718082108767;1.12492026914642;1.12507739527986;1.11854861876228;0.931934836342373;0.887061729148155;0.868199244044991;0.887917162611169;1.02842710180248;0.968208948748523;0.943172202122416;0.964929905264456;0.918265400812446;0.916940553326936;1.01829349062744;1.00555866696912;0.920574608347036;0.882355329773726;1.0985410733369;1.17942205763495;1.06953017295629;1.26328785139279;1.29615439476055
