Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;0.061;0.0627;0.0651;0.0676;0.0699;0.0736;0.0794;0.0863;0.0934;0.1026;0.1091;0.1133;0.1198;0.1311;0.1436;0.1614;0.1799;0.1685;0.2438;0.2436;0.212;0.2446;0.2855;0.2834;0.2872;0.3409;0.4269;0.4086;0.3595;0.46;0.5653;0.4944;0.4001;0.5988;0.6894;0.6089;1;0.8036;0.7883;0.6903;0.8576;0.8663;0.7916;0.8192;1.04
AR;0.0645;0.0659;0.068;0.0702;0.0726;0.0767;0.0837;0.092;0.0988;0.1082;0.115;0.1194;0.1261;0.1368;0.152;0.147;0.1448;0.1533;0.2744;0.3505;0.2649;0.2791;0.3812;0.3852;0.3863;0.403;0.4914;0.481;0.5441;0.4726;0.6525;0.5672;0.5998;0.7177;0.7201;0.5561;0.6347;0.5492;0.8142;0.8729;0.894;0.7665;1.0166;1.2464;1.1817
AZ;0.1132;0.1162;0.1193;0.1219;0.1245;0.1312;0.1418;0.1524;0.1626;0.1757;0.1838;0.1858;0.1941;0.2106;0.2372;0.2356;0.2555;0.2678;0.3489;0.4649;0.4222;0.4751;0.4157;0.4317;0.4018;0.4488;0.5919;0.4569;0.5512;0.6499;0.7198;0.5512;0.4437;0.6588;0.6972;0.6046;0.7319;0.9865;0.7822;0.8803;0.9756;1.0226;1.1949;1.1878;1.1157
CA;0.0861;0.0939;0.0978;0.1034;0.1104;0.1151;0.1238;0.1345;0.1375;0.1633;0.1544;0.1744;0.175;0.189;0.2136;0.2256;0.2615;0.2903;0.3404;0.3209;0.3676;0.3772;0.4522;0.4126;0.46;0.4982;0.4996;0.5023;0.5379;0.5648;0.7609;0.6238;0.6877;0.7348;0.7075;0.7713;0.8491;0.8971;0.7012;0.7006;0.837;0.9427;0.7535;0.8294;1.0154
CO;0.1151;0.1238;0.1269;0.1336;0.141;0.1442;0.133;0.1384;0.1384;0.1499;0.154;0.1612;0.1774;0.1953;0.204;0.22;0.2274;0.2383;0.2815;0.3661;0.2868;0.287;0.3514;0.3495;0.3762;0.3585;0.3378;0.2686;0.3407;0.3587;0.3572;0.5186;0.6219;0.6022;0.8248;1.0967;0.6843;0.7046;0.8931;0.8294;0.9005;0.8518;1.4309;0.9446;0.9914
CT;0.1437;0.1545;0.1634;0.1787;0.1854;0.1898;0.1976;0.2177;0.2415;0.2855;0.2457;0.2589;0.2675;0.2901;0.3051;0.2756;0.2674;0.2894;0.2512;0.2932;0.2844;0.2885;0.2805;0.2913;0.2925;0.3117;0.3441;0.3568;0.3825;0.4136;0.5378;0.527;0.5483;0.5929;0.5468;0.5721;0.6696;0.8218;0.8784;0.8398;0.9011;0.9159;1.1178;1.065;1.2498
DE;0.0924;0.1021;0.1159;0.1251;0.142;0.1552;0.1834;0.2072;0.1934;0.1991;0.1912;0.209;0.2342;0.2191;0.2036;0.1895;0.2146;0.2222;0.3567;0.3634;0.4051;0.4553;0.3261;0.3474;0.362;0.3717;0.3913;0.4406;0.4382;0.4779;0.6766;0.5953;0.5646;0.7299;0.5148;0.8942;1.3303;1.2503;1.1709;0.8837;1.1129;0.7353;1.319;1.5719;1.4063
FL;0.0751;0.0857;0.087;0.0936;0.1055;0.1092;0.1092;0.1079;0.1361;0.1492;0.1323;0.1231;0.1463;0.1718;0.2206;0.2296;0.2369;0.2583;0.3281;0.331;0.3627;0.3996;0.5067;0.4899;0.5091;0.5167;0.4828;0.5053;0.5015;0.5619;0.7291;0.6438;0.5625;0.6817;0.6284;0.707;0.8688;0.7539;0.7778;0.6899;0.6674;0.8434;0.9251;0.8021;1.03
GA;0.1053;0.108;0.1118;0.1141;0.1184;0.1253;0.136;0.1473;0.1593;0.1752;0.1858;0.192;0.2043;0.2217;0.2431;0.2787;0.2807;0.3;0.2783;0.2426;0.2202;0.2378;0.2404;0.2604;0.3014;0.4091;0.4758;0.4456;0.5866;0.4934;0.561;0.4536;0.4188;0.5666;0.5056;0.5525;0.5425;0.6313;0.7388;0.778;1.003;0.966;1.0386;0.8104;0.9374
IA;0.1064;0.12;0.1279;0.1373;0.1489;0.1549;0.1721;0.1806;0.2117;0.2313;0.262;0.2722;0.2644;0.2987;0.2779;0.2723;0.296;0.318;0.3171;0.3078;0.3416;0.414;0.4949;0.4604;0.4976;0.5883;0.4067;0.5398;0.6034;0.516;0.6584;0.7944;0.722;0.932;0.7856;0.4545;0.7715;0.7531;0.9855;1.1324;1.0448;1.1287;1.0694;1.6163;2.0043
ID;0.1002;0.1038;0.1075;0.1106;0.1144;0.1219;0.1325;0.1461;0.16;0.1784;0.1902;0.1967;0.2077;0.2261;0.2617;0.2623;0.2062;0.2512;0.2234;0.2687;0.253;0.2819;0.2778;0.3048;0.3185;0.3655;0.4014;0.4011;0.497;0.4309;0.5523;0.5355;0.5596;0.6421;0.8431;0.6843;0.7044;1.1148;0.867;0.8461;0.7805;0.7662;0.8715;0.8101;0.8603
IL;0.0909;0.1032;0.113;0.1222;0.1357;0.1465;0.1655;0.1874;0.201;0.2377;0.264;0.2569;0.2686;0.2804;0.3143;0.3234;0.3342;0.3612;0.347;0.2954;0.3727;0.3744;0.3817;0.3591;0.3811;0.404;0.4326;0.4534;0.5387;0.6045;0.8494;0.4879;0.6677;0.7728;0.7936;0.6758;0.8298;0.6783;1.0318;0.8262;0.6779;0.981;1.026;1.0541;1.2341
IN;0.0919;0.098;0.1085;0.1166;0.1297;0.1389;0.1582;0.1794;0.1925;0.2291;0.2556;0.2473;0.2559;0.2686;0.2839;0.2908;0.3035;0.2846;0.2496;0.3417;0.2517;0.3644;0.344;0.3388;0.3447;0.3108;0.2963;0.3511;0.4463;0.478;0.6688;0.5703;0.691;0.6621;0.7337;0.9313;0.7385;0.6602;0.8866;0.8117;0.7964;0.6162;0.9068;1.2354;1.4463
KS;0.0859;0.094;0.0975;0.1009;0.1046;0.1112;0.1217;0.1343;0.1466;0.1637;0.1762;0.1811;0.1915;0.2078;0.2259;0.2148;0.2275;0.2561;0.3518;0.2699;0.2376;0.2778;0.3701;0.3778;0.3984;0.4038;0.4132;0.4437;0.5489;0.4736;0.4778;0.5947;0.527;0.4844;0.9505;0.7412;0.6703;0.658;0.937;0.734;0.8351;1.0368;1.0596;1.1636;1.5687
