Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;0.0177;0.013;0.016;0.016;0.0216;0.0227;0.0322;0.0409;0.0592;0.0759;0.106;0.1165;0.1275;0.1664;0.1979;0.1298;0.0908;0.2488;0.2916;0.3447;0.4784;0.7249;0.8173;0.949;1.0749;0.9564;0.7354;0.6941;0.6994;0.6938;0.7345;0.7377;0.7392;0.7831;0.8356;0.9199;1;1.085;1.0718;1.2165;1.3248;1.2452;1.1258;1.1014;0.9509
AR;0.0265;0.0204;0.0266;0.028;0.0402;0.0439;0.06;0.0696;0.0953;0.1137;0.1497;0.1558;0.1654;0.2105;0.2471;0.1626;0.1149;0.3191;0.3776;0.4469;0.6188;0.9287;1.0298;1.1575;1.2609;1.0791;0.7986;0.726;0.7116;0.6918;0.7197;0.7112;0.7049;0.7326;0.7713;0.8273;0.8843;0.9532;0.9389;1.0705;1.177;1.1203;1.0269;1.0178;0.8896
AZ;0.0201;0.0136;0.0148;0.0132;0.0166;0.0173;0.0234;0.0264;0.0369;0.0449;0.0595;0.062;0.0661;0.0833;0.0958;0.0619;0.0435;0.1197;0.1435;0.1727;0.2446;0.3807;0.4384;0.5144;0.5906;0.5428;0.4389;0.4347;0.4579;0.4656;0.4897;0.4815;0.4683;0.4689;0.4754;0.4921;0.4955;0.5105;0.4989;0.5736;0.6431;0.6253;0.5846;0.5879;0.5186
CA;0.0653;0.0472;0.056;0.0537;0.0702;0.071;0.0891;0.0941;0.1217;0.1389;0.1771;0.1795;0.1854;0.2266;0.2522;0.1573;0.1076;0.2982;0.3672;0.4658;0.6949;1.1152;1.2963;1.4835;1.6187;1.3902;1.0386;0.9705;1.0034;1.0346;1.1265;1.1487;1.1432;1.1609;1.1799;1.2144;1.2401;1.2957;1.273;1.4722;1.6589;1.6258;1.5346;1.5613;1.3972
CO;0.0201;0.015;0.0181;0.0182;0.0252;0.0265;0.0348;0.0387;0.0536;0.066;0.0924;0.1027;0.1153;0.1504;0.1753;0.112;0.0766;0.2075;0.2457;0.2967;0.4244;0.6592;0.751;0.8592;0.9462;0.8191;0.6095;0.5521;0.5362;0.5138;0.5311;0.5286;0.5307;0.5661;0.616;0.6854;0.7473;0.8153;0.8134;0.9338;1.0294;0.9797;0.8969;0.8879;0.7751
CT;0.0253;0.0188;0.0212;0.0217;0.0305;0.0299;0.0462;0.0564;0.0785;0.1131;0.1549;0.1629;0.2007;0.2384;0.2658;0.1601;0.1071;0.2776;0.309;0.3445;0.4773;0.7476;0.8935;1.1394;1.4461;1.4582;1.2845;1.3904;1.5753;1.7002;1.7915;1.7595;1.6995;1.6787;1.6904;1.7487;1.7584;1.8391;1.8666;2.2533;2.6619;2.734;2.6966;2.854;2.6474
DE;0.0378;0.0279;0.034;0.0341;0.047;0.0504;0.077;0.0871;0.1219;0.1516;0.2112;0.2322;0.2545;0.3248;0.3699;0.2364;0.1569;0.4085;0.4611;0.523;0.7484;1.1098;1.2298;1.41;1.5871;1.4218;1.1066;1.0645;1.0958;1.1029;1.173;1.1633;1.1268;1.1265;1.1335;1.1682;1.2232;1.3258;1.3577;1.6426;1.9336;1.9722;1.9284;2.0224;1.8582
FL;0.0411;0.0304;0.037;0.0368;0.0501;0.0527;0.0687;0.0753;0.1026;0.1251;0.1731;0.1904;0.2124;0.2751;0.3171;0.1995;0.1348;0.3612;0.4214;0.4989;0.7043;1.0957;1.2769;1.5348;1.8139;1.7173;1.4083;1.3904;1.4323;1.4107;1.4377;1.3828;1.3239;1.3254;1.356;1.418;1.4591;1.5265;1.4883;1.6914;1.863;1.7811;1.6411;1.634;1.4339
GA;0.0199;0.0147;0.0182;0.0187;0.026;0.0281;0.0397;0.0491;0.0718;0.0936;0.1342;0.1514;0.1703;0.2246;0.2665;0.1729;0.1193;0.3206;0.3685;0.4238;0.5744;0.8493;0.9425;1.0845;1.2274;1.102;0.8552;0.8125;0.8203;0.8104;0.8572;0.8548;0.8456;0.883;0.9303;1.0003;1.082;1.18;1.1775;1.362;1.5191;1.4659;1.3606;1.3639;1.2044
IA;0.0566;0.0397;0.0468;0.0458;0.0622;0.0666;0.0919;0.1075;0.1487;0.1791;0.2342;0.244;0.2657;0.3565;0.4506;0.3213;0.2416;0.692;0.8243;0.9567;1.278;1.8301;1.925;2.0377;2.076;1.666;1.1578;1.0025;0.9651;0.9505;1.0172;1.0455;1.0693;1.1352;1.2167;1.3215;1.4059;1.5042;1.4819;1.6893;1.8569;1.7671;1.6197;1.6058;1.4044
