Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;0.3204;0.3043;0.3168;0.3096;0.2928;0.3081;0.3368;0.3048;0.3177;0.3527;0.3471;0.3329;0.3769;0.5635;0.4751;0.533;0.5463;0.537;0.6621;0.7526;0.7407;0.7279;0.7264;0.7574;0.8234;0.7465;0.806;0.7712;0.8673;0.9511;0.926;0.8808;0.8778;0.9655;0.9461;0.9121;1;1.0277;1.0539;1.0434;0.9759;1.0971;0.9135;1.014;1.2636
AR;0.3578;0.3303;0.3489;0.3426;0.3257;0.3428;0.3725;0.3349;0.358;0.3855;0.3731;0.3778;0.4098;0.6265;0.5613;0.6007;0.603;0.5931;0.7217;0.7898;0.7778;0.772;0.7561;0.7829;0.8733;0.8213;0.8996;0.8164;0.883;0.9829;0.9499;0.913;0.9134;0.9712;0.9946;0.9354;0.9731;0.9979;0.9962;0.9873;0.9377;1.0365;0.8616;0.9676;1.1974
AZ;0.3652;0.3707;0.3898;0.369;0.3361;0.3581;0.3985;0.3941;0.4141;0.4672;0.4719;0.4989;0.5549;0.6984;0.6449;0.6254;0.6338;0.6487;0.8368;1.0543;1.0506;1.0209;1.0074;0.9727;0.9951;0.9388;0.8886;0.9985;1.0425;1.0762;1.1457;1.1071;1.0923;1.1135;1.0374;0.9937;1.0184;1.0255;1.0387;1.0462;1.0375;1.1349;1.0294;1.1691;1.4109
CA;0.3615;0.3474;0.3555;0.3485;0.3345;0.3504;0.3773;0.3637;0.3763;0.4105;0.4111;0.4226;0.4537;0.5995;0.5992;0.6063;0.6125;0.6261;0.7211;0.8633;0.9002;0.8971;0.8653;0.8396;0.8552;0.8119;0.7868;0.8108;0.8207;0.898;0.8899;0.8457;0.8314;0.8583;0.8324;0.8109;0.9076;0.8798;0.9712;0.9069;0.8253;0.9433;0.7854;0.8744;1.0553
CO;0.3762;0.3716;0.3889;0.3664;0.3631;0.4079;0.4362;0.4276;0.4497;0.5024;0.5056;0.541;0.6014;0.77;0.6936;0.6986;0.6844;0.7003;0.8965;1.1564;1.1201;1.0773;1.0694;1.0634;1.1015;1.0278;1.0114;1.1452;1.2161;1.2626;1.3504;1.286;1.2397;1.2827;1.1767;1.1304;1.1106;1.1555;1.0758;1.1172;1.185;1.2332;1.2545;1.4204;1.6819
CT;0.4947;0.4713;0.4686;0.4606;0.4544;0.4683;0.5093;0.4781;0.5037;0.5515;0.5486;0.5363;0.5563;0.7161;0.7518;0.735;0.8044;0.7724;0.8462;0.9477;0.978;1.0488;1.0343;1.0268;1.1014;1.0025;0.9855;0.991;1.0102;1.1552;1.1664;1.1138;1.0895;1.1164;1.0971;0.8765;0.9796;0.8719;0.9216;0.9129;0.8437;0.9029;0.7951;0.935;1.0276
DE;0.4279;0.3744;0.399;0.3859;0.3821;0.401;0.4044;0.3683;0.3946;0.4212;0.3911;0.3832;0.4154;0.6095;0.5697;0.6513;0.5998;0.6005;0.6878;0.6855;0.7374;0.7793;0.7826;0.8059;0.9171;0.8489;0.9503;0.7964;0.9315;1.0305;0.9084;0.8428;0.8298;0.8284;0.8621;0.8732;0.9518;0.9622;1.0043;0.9181;0.8679;1.0133;0.8168;0.9175;1.1609
FL;0.3633;0.3583;0.3648;0.3564;0.3344;0.3416;0.388;0.3656;0.3781;0.4197;0.4209;0.4114;0.4671;0.6377;0.5816;0.5631;0.6119;0.6098;0.7591;0.964;0.924;0.9011;0.8755;0.8795;0.9186;0.8762;0.8604;0.8855;0.9374;0.994;1.0478;1.002;0.9589;0.9915;0.9537;0.9109;0.9663;1.0052;1.0228;0.9973;0.9964;0.9588;0.9403;1.0275;1.2415
GA;0.3729;0.3425;0.353;0.3435;0.3299;0.3522;0.382;0.3281;0.3494;0.3895;0.3711;0.3442;0.386;0.5985;0.5382;0.6008;0.604;0.5885;0.6792;0.7271;0.7206;0.7481;0.7347;0.7524;0.8365;0.7505;0.8208;0.7623;0.8255;0.9108;0.8766;0.8315;0.8401;0.8888;0.8903;0.8733;0.9563;0.9702;0.995;0.9325;0.8706;0.9683;0.8006;0.8949;1.1142
IA;0.3226;0.3245;0.3333;0.3094;0.299;0.3496;0.3931;0.3584;0.3693;0.4207;0.4281;0.4035;0.4935;0.6771;0.6095;0.6918;0.6661;0.6527;0.8204;0.8933;0.8308;0.8771;0.9379;0.8901;0.8963;0.8469;0.8937;0.96;0.9082;0.9486;1.0833;1.0105;0.9152;0.9725;0.8911;0.8879;1.0405;1.0231;0.8196;0.7641;0.9156;0.9669;0.7883;0.9152;1.1039
