Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;138185.536209251;139055.3337811;137904.150838079;139047.23679913;134869.672461793;133402.843414033;128913.140285701;127813.317539462;117298.801910805;105929.226973981;98087.3866215713;95644.4558995717;92078.6752068882;91151.5008524705;91451.0537539196;94214.7127896223;84710.5474547118;78900.6711476832;71270.3169246263;66618.5630095368;59856.379785435;55725.0918089041;54716.6581729425;58198.797954874;70824.7796648726;74261.6016424728;71497.1347352553;226976.713990169;255085.902909086;264482.555866733;231288.019660224;292442.074715196;226707.138619381;176376.130061958;209033.967899967;283102.578902552;262487.58975;334312.383304164;350930.248573188;374036.985894596;314464.852399589;385989.389592608;336667.883221997;347207.214930013;332967.4329087
AR;232084.257230038;227206.562297853;224480.832440292;226943.746619487;206269.020887728;208001.05235528;193731.112952713;198334.535054715;191345.475712408;181649.885345214;148043.820731722;151267.943752072;147307.590238992;156328.710740071;155464.732533736;163902.366073248;159928.960623855;152702.280772581;142653.372135401;195355.136289968;183910.347708129;175870.260464355;147193.391903701;149691.426665824;171514.388883507;173347.639427967;157168.744945674;399757.415943556;417233.873467363;432080.044481607;391079.985829254;455055.755139798;345846.8742089;400687.154916879;366409.353076586;429704.665103698;421751.669498011;423277.513981619;495999.13574523;536527.182005935;415453.591035957;414771.732271563;402496.851279712;342750.157148908;345625.995709209
AZ;172870.164059582;162086.054884169;159297.758315323;163744.234706616;176103.610395264;183379.412731773;180189.623921916;181413.457684176;180658.181651114;178568.126650862;150606.971795807;143031.537982294;137025.104735455;140914.770618746;112426.07469255;114059.856399076;113169.678681773;114168.18095461;136598.350020751;120716.195691205;109079.135198833;98901.6504489261;218616.634666097;188524.618740775;182199.213494351;196881.061406395;173588.580911886;127088.918030057;131862.022737511;127208.813635795;123776.747543718;142362.852431518;162032.663214272;151049.314989061;138264.794422302;210521.44818719;181529.71111053;153065.242300433;227095.319169168;220544.21350924;212485.236862314;190256.559093313;183402.989179998;183231.602208786;138575.087723025
CA;1337105.77278949;1331619.70680428;1283141.03193944;1253314.23195643;1202349.87548008;1281310.4033164;1262758.55877209;1159345.29025996;1205267.61607931;1141489.27613828;1118389.77451499;1037918.35512507;1030174.82201495;1106529.754057;1134938.54909167;1143778.0893109;1141132.36058154;1117866.56389783;1034239.16939222;1065543.97224583;981926.837268841;923795.915689467;1201481.14392397;1131260.63138157;1350094.83758041;1437714.69876413;1215518.36057068;1127884.75405045;1228267.74176382;1335166.72808627;1394065.88816883;1532676.79774419;1570377.24889484;1624865.24733518;1694382.46213811;1713674.85287289;1616768.56894058;1953436.3118854;2580725.45165263;2660367.45441769;1903691.73378524;2263429.40085366;2523021.0275569;2403142.71919099;1894403.88213632
CO;164554.121360562;163202.92147817;157000.794993287;153463.539869271;146519.09116698;149631.73567916;154302.9735159;159542.358648518;155578.450935171;138791.177484552;140341.392524083;143690.737837569;137150.20703808;147845.070852807;135960.863724743;139208.132464185;138705.857144887;137329.661882277;111665.837034394;114051.200598173;102312.420157562;96638.6093556362;329301.692555208;312428.305294988;248317.051424176;331340.630445996;366791.150030817;304626.676259256;333364.804863468;335642.011212431;326321.026679307;357771.733731459;301874.975395274;324516.408729975;280152.652427282;341232.93191514;335614.464420374;346562.929499903;439329.245820468;517468.233200128;477236.534155201;444191.073148435;453946.848064386;492716.07643562;385082.348423999
CT;21207.3378177007;20730.3279872801;19933.9272632212;20081.7639378152;20525.3959171455;21097.342026291;19886.502295983;18479.4527680226;16929.7533456125;15676.727182605;14172.5686777925;13614.5568089015;12802.9374857223;12938.1181419046;15282.9797721957;13342.2057823107;12837.9785360447;12655.2936461403;11380.2111117591;15836.2215493995;15777.4517395281;15499.8208724414;16901.1208336817;17476.9469271602;19606.1845300168;20395.7920023626;17935.009412738;14978.2800423005;16862.5761160773;15938.6844486609;14799.5686819968;13054.5140467212;18739.4697947702;18699.2529965303;20477.8740944552;22699.624139375;17713.7329197281;21915.9048389936;22840.8810975;29881.5567304071;31977.2431174731;24595.5769424558;26793.8853835305;25590.7387991503;26830.10828926
DE;18272.6423733187;18073.6918806584;18157.2291095435;17933.0589831985;16096.2617498403;16742.019569599;15008.2352723126;14098.1994408538;13938.884780314;13174.3755427185;12122.7042239945;11669.9842231442;11238.7875845252;12171.4169706816;12867.585571318;12860.2571483614;12517.8460012825;12138.6187653522;9808.60449544034;12648.3773414272;11619.8055321542;10944.1553935349;11137.3440807805;11246.3655407368;12700.9780641732;13353.1064281384;11699.5633243866;59425.2803832754;58849.150956117;58514.7480781795;45900.2347343642;53693.9761537099;36179.6045252693;40019.6193594474;40285.5106221746;49913.1535145203;37817.6484140834;53469.798145826;74450.4895988504;86650.4068093318;71361.4566645514;79542.5015977255;63865.4381606837;57589.1524864088;59348.8511252107
FL;558813.991307154;554097.36687963;556387.491069931;545695.518908009;565974.379802466;622624.273485989;619354.573696494;590568.599740635;609197.917026918;582539.276157916;580939.592219291;544773.522633509;521863.922776171;544457.192032769;443264.46550294;450948.977402368;462071.57788682;448701.696389873;476378.804002854;464171.39766425;437385.956930206;388414.58123947;413532.152397387;364724.180651987;459439.702663909;497362.121593383;392605.28244745;387050.868003241;380466.092827463;375392.06340078;356394.075480846;347779.284132208;365231.893594882;298784.992216846;348545.270150282;475003.089384242;526923.154196136;548483.781316996;563283.409052112;569885.674475704;679798.175350936;595697.374365418;434547.85783414;625783.161330426;364861.372855198
GA;288850.608722321;294456.69096986;294370.849766726;302275.580867969;302033.609478472;303609.43034008;279070.257124512;275255.70905345;241925.080961319;209743.19930167;195764.34802319;193815.214925467;188425.628867225;188357.822590242;188482.68139139;201769.30503329;180732.178897673;163612.838208154;154527.869415635;205330.025514997;198081.9838515;191899.326527077;172037.819359555;165143.289408287;173847.810617831;162269.147339997;139891.198642284;332369.982604947;315346.464302244;328992.558318677;286386.904928389;358710.015134281;292152.362877712;266736.022998639;278454.984985913;386061.022082789;380408.60372496;425386.47438228;484553.434568085;571918.21544128;487683.370885104;580406.426597323;526518.497196911;574150.021998415;535828.880391632
IA;249216.57256472;246536.92085825;247584.741450317;257393.765945783;227968.932537168;237347.914517891;247741.35598928;275923.434624266;279035.34363034;282884.417144513;266026.117125492;273196.541757073;262088.75105224;283755.446370142;255242.808271176;266080.581314341;253178.300297316;242865.907975754;222070.488426231;227474.642957442;170838.699243284;156180.616448806;149080.810094065;142225.266064592;163208.907099903;167921.82287064;176814.229580298;251242.703141356;216076.378697776;249618.406188134;238159.488487017;270893.264247469;272269.000509871;253075.958668968;299018.896905327;293778.644083983;286606.108426837;269975.319219708;268631.028430675;289781.289319198;324264.661990943;294837.959930631;241150.029147215;230066.218527385;284210.878469214
