Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
AL;0.218925551874695;0.215846374844933;0.218080525909894;0.219433890360733;0.2202969643985;0.224019539813224;0.238418106972888;0.245318659655016;0.26788583489761;0.288469183466574;0.286243084589645;0.319995760815887;0.346080693475578;0.396490047531753;0.43014543656226;0.446623215757632;0.50699200529179;0.570737706076384;0.655089336988827;0.713801580082072;0.744231444662808;0.822914750095982;0.85630229558079;0.85793868180431;0.873437238953834;0.895146327708351;0.880050044844295;0.919094300079407;0.976590842610324;0.976395020698911;0.992869141200454;0.901721190758252;0.886860546449559;1.10598042615787;0.946210774340047;0.944493087581655;1,0000;0.936284634049036;0.952715760409216;0.961777044587178;0.992741610287536;0.988086783091469;1.01391423709078;1.03325551305814;1.05313661260124
AR;0.13806539577598;0.138480024488859;0.141059429496586;0.142874642492161;0.144308733101392;0.147368726581279;0.154610093196206;0.161063193661336;0.17143022805592;0.183238879986814;0.188732271790059;0.204749813029823;0.215716563473149;0.237338154446749;0.274700688224564;0.288948198744431;0.308296925324805;0.349580942814756;0.41733362950675;0.489036419936831;0.520117552884014;0.588922764579587;0.642800595708134;0.654579906027248;0.671219384737408;0.67836221432288;0.662374601044145;0.694391877305369;0.813048473343896;0.818327954960788;0.801898871237355;0.793972578259128;0.818494022383493;0.841678568982231;0.864372723842016;0.867869627061191;1.01277365428903;1.12315070982165;1.08628914673503;0.984958200392082;1.03251356612507;1.10666876586824;1.13022883345207;1.16011429266027;1.14336883207848
AZ;0.172758610426771;0.173873814125052;0.177118927511844;0.180320903145238;0.182587483606916;0.188083481512936;0.20057525522807;0.211703225372885;0.224967025829764;0.243445208627139;0.256558422045127;0.284505441785209;0.299186232792162;0.327142268571781;0.383436806579143;0.410815430125974;0.439087540364229;0.474051037159978;0.537472884117195;0.641633990227025;0.67270426985183;0.755578897427906;0.733000031057794;0.819717875745931;0.800826728072147;0.793413032640867;0.748344155575186;0.782764387911925;0.864418713088453;0.971379548855648;1.00573074079226;0.913280099262854;0.818990426791379;0.987189117744749;1.03607950670697;0.959067694710482;1.06429585998935;1.32569169166255;1.10290823217463;1.1837821217153;1.29270297106799;1.34565819028837;1.48255651783921;1.48277531672957;1.43993628493187
CA;0.16014728043049;0.164746411416025;0.169040401290426;0.173953722504752;0.179505281548826;0.18576684240014;0.198779150508136;0.211971528548458;0.22439330901125;0.248970904455297;0.257184325592784;0.299287706194894;0.311213010793943;0.338979439276107;0.394698984814757;0.43635784444314;0.475978998637921;0.52695375445845;0.581280022423128;0.622032941740149;0.673906624082653;0.742227789011449;0.786596614336721;0.790399643721361;0.79921496621213;0.823387283316783;0.781708783381842;0.875539397223016;0.916547201209868;1.00640482545276;1.08434965331203;1.020307590649;1.03869762541321;1.12430522391077;1.11646505860482;1.14798861642975;1.22930020978967;1.28839860011143;1.02951554430116;1.02941053884958;1.19439806428056;1.34129074630956;1.09870716927169;1.19595087931254;1.43407193200341
CO;0.218985201646964;0.221734639848505;0.225241584779904;0.229062525379261;0.233214013297264;0.235115381866592;0.238922169324936;0.247431955134678;0.256497165474186;0.273448330856221;0.287869437501756;0.309551910546802;0.327036896068814;0.354878656854626;0.408294650124568;0.44468704079607;0.46495858535523;0.514641750905548;0.569414437776731;0.664592187238296;0.713090354891854;0.801315338831328;0.816054111094334;0.875375231260736;0.895327158263586;0.820862203448754;0.71227095227911;0.708649140474961;0.810746849688267;0.86988559913976;0.858624260291244;0.844116169072987;0.864667916372394;0.884493672333332;0.964926765989365;1.02209748708174;0.99981356885055;1.01595179126075;0.966352688374157;0.859076121138579;0.883281834753484;0.964977119174935;1.10772404193162;0.992229989280407;0.983194183268892
CT;0.207143681647278;0.209426994734431;0.213427557494416;0.216892202595096;0.219449507212363;0.221904104738912;0.228032511460074;0.238260182969643;0.25221291147726;0.273186494316656;0.282052849743701;0.301536380488835;0.315239987396403;0.337613381913701;0.374442875480039;0.401663494091125;0.427163169516055;0.469588615885409;0.495975143977732;0.556417815085739;0.593631985356344;0.647878455024899;0.667707195934042;0.676891681899857;0.686518071855995;0.705439631779601;0.701979001530839;0.785641421415184;0.814475196758666;0.887908914037694;0.960440152373558;0.971928174008649;1.00664801120812;1.05587105557979;1.0736954382366;1.11222105903534;1.19675508804755;1.25908559115952;1.28781570879153;1.2378615359206;1.29824715212286;1.31967865587947;1.44018895981839;1.42805763783629;1.59160744114827
DE;0.193301135090032;0.195988213158665;0.202142144195129;0.206011335040592;0.211729786355326;0.218128161057985;0.233834850698583;0.246817749753992;0.257586600723518;0.274794545407758;0.28320475799896;0.317100733887165;0.338388544814958;0.359608553212996;0.401161184622987;0.430351854810657;0.467794905665694;0.520283110316111;0.60416940585696;0.663817065873246;0.729788461307225;0.817057112080331;0.794623918935236;0.811639988664464;0.83143203197772;0.843399253994422;0.816611674735385;0.87668043832331;1.0516818683782;1.04812129359351;1.03950658152687;1.04976533249541;1.02369244954383;1.05394707458763;1.03928961066598;1.20205269684164;1.4374776216851;1.27694070050141;1.07613606830111;0.969156895417557;0.964778816156088;0.993239463595887;1.18030821052764;1.24477993589015;1.23503627096943
FL;0.143941468195224;0.149185771070329;0.1520145915078;0.156562373862569;0.162804715469511;0.168661618463934;0.179390097195897;0.188907098748822;0.208825196812684;0.228007232553999;0.235394330780662;0.268617079100733;0.292984777705556;0.327577648234331;0.392772788045912;0.432462668531028;0.459924205855981;0.510342233475378;0.572090517349733;0.624318449751483;0.652512947610573;0.728600350421763;0.770624480230894;0.762548837597847;0.764670527956089;0.781724186704074;0.746551780946125;0.877276468868037;0.875708194635606;0.98119613886657;1.04741381058693;1.01893777107577;0.984083048559469;1.08189594876103;1.07410665348745;1.10311369062726;1.18803988647077;1.05837730923624;1.09433692635703;0.987307772278434;0.959999905285273;1.17024448007114;1.26904483158327;1.12736523905521;1.38597374033533
GA;0.190900575401938;0.188345507180722;0.190131553188571;0.191019571546724;0.192225201350538;0.195656319246101;0.207692212299317;0.213725657963566;0.235514733462361;0.254016734563168;0.251562227588605;0.280955812568978;0.303978462094571;0.348259441923159;0.375255572599309;0.390329558515785;0.438515653511004;0.503083378297626;0.544459143338743;0.580464286318281;0.600332234602161;0.650101291431045;0.660046729391966;0.667662612238527;0.690454481844872;0.722170553805053;0.705493244520451;0.741565742769981;0.946956169972429;0.952837011791473;0.967294478004395;0.864769998724116;0.869711927527197;0.957716047679484;0.980258014069343;1.00661062057869;1.1012994078675;1.13171867466892;1.06267564397513;0.970733636367281;1.00284541341317;1.09205236638385;1.11611085919784;1.05283252029845;1.09709037898507
IA;0.232732709027644;0.235128922456232;0.240948512369172;0.245005729739934;0.250526161694094;0.254303343634148;0.267606146800321;0.277091535913334;0.297275297971112;0.31627174535334;0.332233866232637;0.350589078306869;0.360587683881571;0.390296091241847;0.442000694919387;0.469988892237611;0.498825830195806;0.565546808354724;0.600139030907168;0.668124394356692;0.796751559236373;0.937715597044048;0.95700445892385;1.07390904743067;1.10125117062381;1.00888018664798;0.870696110915018;0.836280843858491;0.952299886133359;0.975248585621215;1.00534357027329;1.00990533854722;1.01327507414858;1.06057174585707;1.054786815697;1.05510306944364;1.17400717293468;1.14793475261266;1.10576986271955;1.03840492092139;1.06656716096206;1.12033237351023;1.13633650926375;1.19889541113646;1.28772566430684
ID;0.183452377159552;0.184416230097423;0.188001679220837;0.190648065308763;0.194826032584336;0.200496527948053;0.212026841757746;0.222611568183686;0.23621471336957;0.255704874032107;0.270501668900814;0.293242198367755;0.309993941025485;0.341189172988151;0.39696108863324;0.421195135397921;0.414046918147412;0.471132498820041;0.482184129616879;0.554786578534007;0.615373420912517;0.688028708958723;0.713795450750525;0.768220834163894;0.777156314923472;0.763102026903676;0.716892450149939;0.724572211183909;0.80300309342912;0.847678944923688;0.892929863146437;0.885144362172383;0.895057544286719;0.942587238055259;1.014334716348;0.984311261933907;1.01493302945057;1.21196243070589;1.03846610018364;1.01432556630467;1.03204327899765;1.05932075570281;1.07093646686097;1.05095385932077;1.09967344914767
IL;0.235056892368129;0.240438499632802;0.245664940296447;0.250032212616528;0.25705608716797;0.263110500595231;0.277630000627999;0.290799183221286;0.306339122238221;0.329997523784786;0.351622548171987;0.365250233998896;0.379307531450155;0.402901337369702;0.474285410335861;0.509518798693997;0.536992572019013;0.607741323173228;0.64284925744105;0.702354896573498;0.848155679286397;0.974146434171032;0.980536735946839;1.0660440460594;1.11842541523394;1.04620595973322;0.93941244193909;0.926497045085716;1.02683856020907;1.08306914639476;1.14940237455513;1.08271378851485;1.12480273667809;1.16588766800886;1.18433451975654;1.18709672390568;1.2958226468789;1.25161446574653;1.28937282069739;1.21779679607741;1.2226499675338;1.30959984717872;1.32825546953727;1.36679569981239;1.42764308810341
IN;0.188036345672584;0.189167393142441;0.193861998418889;0.196896730442482;0.20232656231568;0.207472468929691;0.218822438556026;0.230193563967379;0.243293044255715;0.264449096044402;0.278239115681726;0.296510089453619;0.310050849883455;0.335754517049064;0.386267410065872;0.410591699997134;0.436242507836085;0.484169235193578;0.505546508095262;0.58665054938669;0.642483158158334;0.761299341565856;0.786949375739073;0.809663831726192;0.838326182093837;0.82590396391041;0.774024641311976;0.811453760302797;0.939335388106246;0.982028806629884;1.02895999318131;1.01539098693264;1.04521841390321;1.06538482692436;1.08613735813345;1.15885119537672;1.23507195484812;1.1834732650469;1.15253570674662;1.08622042969741;1.10196604949029;1.09313375782046;1.18968455587777;1.28262044009011;1.35913978617032
KS;0.214773567787883;0.216965196107868;0.219896992314609;0.22147477704965;0.224233624111918;0.227532935975895;0.237594869437666;0.246452073056842;0.258535004526095;0.27315921911098;0.291008214486627;0.304055731275382;0.315332754664306;0.341153389817096;0.404154143709845;0.426891141894189;0.452319720767191;0.512290455563725;0.568649823173013;0.61948467205182;0.715283722094083;0.834124032667176;0.860881588696177;0.964292749606062;0.967371249251299;0.860961520238218;0.707522667333174;0.728880021515681;0.853312782505881;0.890799558132962;0.84383417613695;0.860755325032028;0.852570475821053;0.871566657522727;0.933084289697183;0.947698538756921;0.992061642070382;0.965143553334199;0.896254406177244;0.813189923906216;0.852660675356569;0.960178674550097;0.967375089661097;0.943949131359185;0.957577273807433
KY;0.181636739374134;0.185610708864088;0.188380809362905;0.194515364148222;0.200107815817649;0.206026556067174;0.225059154985664;0.234169657982974;0.253503716914377;0.267955401760294;0.284458619724375;0.302127930035218;0.317633201107152;0.353446686446958;0.398994193553071;0.44134252925502;0.449877084361363;0.51955209852338;0.538069373593972;0.637488724688756;0.677333016254622;0.753150508031983;0.801615367577722;0.819841439567588;0.844200334205635;0.842586794801452;0.79965164365735;0.861901010742211;0.891738703516485;0.929594226634222;0.975561886633353;0.993415506077426;1.00672195518901;1.06843040338693;1.08926123054981;1.0697302459061;1.137950074781;1.09664464729329;1.19219808949155;1.13503249526567;1.06407745090723;1.15991990386293;1.25248003959561;1.23091026890946;1.17042226534062
LA;0.140342517992032;0.142829263772675;0.146735934020385;0.150497733820963;0.153450301467127;0.158861931583697;0.166986225008976;0.177328496297209;0.192950830211736;0.208215938623596;0.220123139548472;0.232491213123056;0.240994899411139;0.270541864535358;0.30010924729547;0.328802882373518;0.34779647794409;0.398493712992646;0.457685844936806;0.531189476636579;0.565902463323367;0.622859836313051;0.66548026531607;0.67234964249783;0.707801160556626;0.687227132267446;0.677048042910891;0.691855179288024;0.732555936362214;0.806563312304086;0.896964948209819;0.890760018320727;0.866396964072138;0.896668974978765;0.993812884151578;0.916216758694981;1.00281286608657;1.03301897842027;1.01743044390896;1.00359399438276;1.01073025616021;1.05892726032148;1.01922603147602;0.983012943543258;1.15791630708902
MA;0.201943993737702;0.204161028549607;0.208327455571836;0.211361491658937;0.213968974277644;0.218046752298009;0.226129160136854;0.237400976429435;0.250505457583837;0.273572999418608;0.287124145863073;0.30746470286308;0.327338260287146;0.352646754331734;0.3951797860795;0.420727782396831;0.451289199420996;0.497513537839738;0.532967754484094;0.594556910034139;0.625674327830086;0.680183172006492;0.700259213895543;0.707111542189506;0.708450718122477;0.73134415637411;0.730822402900801;0.848641995761493;0.896722374076636;1.03014069492799;1.06328516304216;1.01895486439812;1.02607552350171;1.11553086071904;1.11038346076204;1.23883312790845;1.33449944891307;1.52352774900968;1.57847829640339;1.5338399823858;1.61994106220549;1.62021396664428;1.78704007507191;1.7516013522005;1.99057436590976
MD;0.199179260175323;0.199782207516107;0.203316299183141;0.205974915390165;0.208479870762566;0.213565593371934;0.226358524496154;0.236719732732203;0.253749487642143;0.27397015250616;0.28576927046127;0.313414939791221;0.330783491433118;0.360838734021689;0.408685931725751;0.435209684477568;0.472448979307805;0.54345084777026;0.563635149752661;0.61250763291056;0.677245066276085;0.738164081782687;0.788326036207557;0.813596542017439;0.830637416373256;0.839837750199823;0.821222618869533;0.852463248590384;1.01033683627132;1.04233529377228;1.01943401711243;1.06816296793316;1.03896399691206;1.09155049905391;1.10877145613364;1.1966342786262;1.33543217957007;1.2159544411931;1.17831613788693;1.09157438424889;1.16647646990936;1.20179005713923;1.34818906479889;1.51631167192657;1.44357282946965
